"Status","Year","Age","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","30","30","23820","22750"
"In post","2023","16-19","Economics","London","15","15","27620","28510"
"In post","2023","16-19","Economics","Outside London","15","15","25340","24840"
"In post","2023","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","35","30","21760","20090"
"In post","2023","16-19","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","25","25","23220","22220"
"In post","2023","16-19","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","60","55","26850","26400"
"In post","2023","16-19","Operational Delivery","Outside London","835","800","23450","22520"
"In post","2023","16-19","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Outside London","40","40","20660","20770"
"In post","2023","16-19","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Policy","London","15","15","26490","25610"
"In post","2023","16-19","Policy","Outside London","10","10","23430","22490"
"In post","2023","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","15","15","23170","20040"
"In post","2023","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","35","35","23030","22750"
"In post","2023","16-19","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","110","110","19650","18780"
"In post","2023","16-19","Security","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","London","10","10","29140","28050"
"In post","2023","16-19","Unknown","Outside London","80","75","22950","22520"
"In post","2023","16-19","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","London","305","305","41550","36000"
"In post","2023","20-29","Commercial","Outside London","815","815","32790","31650"
"In post","2023","20-29","Commercial","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","London","525","520","38720","37870"
"In post","2023","20-29","Communications","Outside London","295","290","32130","31270"
"In post","2023","20-29","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","London","10","10","[c]","[c]"
"In post","2023","20-29","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","London","300","300","32640","32520"
"In post","2023","20-29","Counter Fraud","Outside London","920","910","28500","28120"
"In post","2023","20-29","Digital, Data and Technology","London","935","935","41350","39450"
"In post","2023","20-29","Digital, Data and Technology","Outside London","2570","2550","34310","33430"
"In post","2023","20-29","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Economics","London","940","935","42370","39110"
"In post","2023","20-29","Economics","Outside London","295","290","34230","32530"
"In post","2023","20-29","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","London","390","390","40080","36940"
"In post","2023","20-29","Finance","Outside London","1030","1015","30830","28120"
"In post","2023","20-29","Finance","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Geography","Outside London","100","100","27560","27610"
"In post","2023","20-29","Human Resources","London","495","495","39150","35760"
