"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
