"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","SEO/HEO","15","15","37860","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","SEO/HEO","115","110","31120","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","AA/AO","[c]","[c]","[c]","[c]"
