"Status","Year","Disability","Ethnicity","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Outside London","260","235","28060","28120"
"In post","2023","Declared disabled","Asian","East of England","Outside London","145","130","31530","29050"
"In post","2023","Declared disabled","Asian","London","London","1555","1450","38120","33010"
"In post","2023","Declared disabled","Asian","North East (England)","Outside London","65","60","28360","28120"
"In post","2023","Declared disabled","Asian","North West (England)","Outside London","360","330","29550","28120"
"In post","2023","Declared disabled","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Outside London","60","55","32460","28120"
"In post","2023","Declared disabled","Asian","South East (England)","Outside London","135","125","33470","31060"
"In post","2023","Declared disabled","Asian","South West (England)","Outside London","80","70","35440","31920"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Outside London","40","40","34720","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Outside London","600","545","29600","28120"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Outside London","300","275","30000","28120"
"In post","2023","Declared disabled","Black","East Midlands (England)","Outside London","95","85","28270","28120"
"In post","2023","Declared disabled","Black","East of England","Outside London","85","80","31410","31280"
"In post","2023","Declared disabled","Black","London","London","1430","1360","36250","32520"
"In post","2023","Declared disabled","Black","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","Outside London","95","90","32270","28120"
"In post","2023","Declared disabled","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","Outside London","100","90","32900","31280"
"In post","2023","Declared disabled","Black","South West (England)","Outside London","60","55","32350","31420"
"In post","2023","Declared disabled","Black","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","Outside London","225","200","29730","28120"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","Outside London","80","75","29160","27400"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","Outside London","90","85","29230","28120"
"In post","2023","Declared disabled","Mixed","East of England","Outside London","85","80","33080","30260"
"In post","2023","Declared disabled","Mixed","London","London","545","525","41290","35650"
