"Status","Year","Age","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South East (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scotland","AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East of England","AO","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South East (England)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South West (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Yorkshire and The Humber","AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Wales","AA","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Scotland","AO","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","South East (England)","AO","10","10","18820","18280"
"In post","2023","16-19","Defence Equipment and Support","South West (England)","AO","85","85","19120","18780"
"In post","2023","16-19","Defence Equipment and Support","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South West (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South West (England)","AO","20","20","22260","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","AO","15","15","21690","21690"
