"Status","Year","Age","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Female","20","20","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Male","35","35","24160","23800"
"In post","2023","16-19","Cheshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cumbria","Male","5","5","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Female","20","20","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Male","25","25","[c]","[c]"
"In post","2023","16-19","Devon","Female","10","10","[c]","[c]"
"In post","2023","16-19","Devon","Male","25","25","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Female","5","5","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Female","25","20","[c]","[c]"
"In post","2023","16-19","East Anglia","Male","25","20","[c]","[c]"
"In post","2023","16-19","East Wales","Female","30","30","[c]","[c]"
"In post","2023","16-19","East Wales","Male","30","30","21550","22150"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Male","10","10","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Female","15","15","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Male","20","20","[c]","[c]"
"In post","2023","16-19","Essex","Female","10","10","[c]","[c]"
"In post","2023","16-19","Essex","Male","10","10","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Female","50","50","21330","20490"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Male","115","115","20290","19460"
"In post","2023","16-19","Greater Manchester","Female","25","25","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Male","20","20","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Female","25","25","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Male","30","30","22610","21860"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Female","10","10","[c]","[c]"
"In post","2023","16-19","Inner London - East","Male","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - West","Female","35","35","27030","28230"
"In post","2023","16-19","Inner London - West","Male","25","25","[c]","[c]"
"In post","2023","16-19","Kent","Female","30","30","[c]","[c]"
"In post","2023","16-19","Kent","Male","25","25","[c]","[c]"
"In post","2023","16-19","Lancashire","Female","20","20","[c]","[c]"
"In post","2023","16-19","Lancashire","Male","10","10","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Female","10","10","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Male","10","10","[c]","[c]"
"In post","2023","16-19","Lincolnshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2023","16-19","Merseyside","Female","35","30","22920","22400"
"In post","2023","16-19","Merseyside","Male","20","20","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Male","[c]","[c]","[c]","[c]"
