"Status","Year","Disability","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","AA/AO","30","30","26130","24210"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","EO","30","25","28800","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","75","65","26380","25610"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","145","130","31310","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","70","65","40620","39460"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","45","45","32420","31430"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","AA/AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","EO","45","40","27790","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA/AO","95","85","27620","25610"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","105","100","32260","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","30","30","60650","59290"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","80","75","39180","37710"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","50","50","29870","29050"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AA/AO","65","60","27220","24220"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","70","65","29550","28480"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO/HEO","60","55","39790","37920"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","65","60","25750","25700"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","70","65","29550","28120"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","60","55","38930","37640"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","30","25","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AA/AO","95","90","27000","25340"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","70","60","28800","28120"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","85","80","38520","35770"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","40","40","37780","32050"
"In post","2023","Declared disabled","Cheshire","Cheshire East","AA/AO","55","50","24530","22190"
"In post","2023","Declared disabled","Cheshire","Cheshire East","EO","60","50","27930","28120"
"In post","2023","Declared disabled","Cheshire","Cheshire East","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire East","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire East","SEO/HEO","40","35","37230","37300"
"In post","2023","Declared disabled","Cheshire","Cheshire East","Unknown","25","20","[c]","[c]"
