"Status","Year","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Male","5755","5590","37350","33200"
"In post","2023","East Wales","Flintshire and Wrexham","Female","1175","1085","29680","28120"
"In post","2023","East Wales","Flintshire and Wrexham","Male","1070","1045","31030","29410"
"In post","2023","East Wales","Monmouthshire and Newport","Female","3305","3030","34640","31330"
"In post","2023","East Wales","Monmouthshire and Newport","Male","2660","2575","39980","37760"
"In post","2023","East Wales","Monmouthshire and Newport","Unknown","5","5","[c]","[c]"
"In post","2023","East Wales","Powys","Female","320","295","33300","30320"
"In post","2023","East Wales","Powys","Male","270","260","30890","27470"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Female","790","720","30170","28480"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Male","1215","1150","32370","30410"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Female","1215","1065","29420","28120"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Male","960","910","30660","28590"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Female","610","535","27520","28100"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Male","285","270","28980","28090"
"In post","2023","Eastern Scotland","Angus and Dundee City","Female","1545","1420","29300","28120"
"In post","2023","Eastern Scotland","Angus and Dundee City","Male","985","955","29200","28120"
"In post","2023","Eastern Scotland","City of Edinburgh","Female","7500","7045","41560","36330"
"In post","2023","Eastern Scotland","City of Edinburgh","Male","6645","6475","41520","37060"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Female","610","555","31500","28120"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Male","650","620","35100","34300"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Female","95","85","33730","28120"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Male","45","45","31770","28120"
"In post","2023","Eastern Scotland","Falkirk","Female","1155","985","28730","28120"
"In post","2023","Eastern Scotland","Falkirk","Male","615","580","32450","28490"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Female","645","600","32870","30320"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Male","760","720","34490","33300"
"In post","2023","Eastern Scotland","West Lothian","Female","275","250","36160","28120"
"In post","2023","Eastern Scotland","West Lothian","Male","180","175","37890","31970"
"In post","2023","Essex","Essex Haven Gateway","Female","505","460","31690","31280"
"In post","2023","Essex","Essex Haven Gateway","Male","415","405","33170","31280"
"In post","2023","Essex","Essex Thames Gateway","Female","695","615","29420","29050"
"In post","2023","Essex","Essex Thames Gateway","Male","230","220","30100","31280"
"In post","2023","Essex","Heart of Essex","Female","725","665","32980","29870"
"In post","2023","Essex","Heart of Essex","Male","510","500","35130","31660"
"In post","2023","Essex","Southend-on-Sea","Female","280","235","30270","31280"
"In post","2023","Essex","Southend-on-Sea","Male","145","135","33290","31280"
"In post","2023","Essex","Thurrock","Female","190","175","28870","27650"
"In post","2023","Essex","Thurrock","Male","210","200","27440","25980"
"In post","2023","Essex","West Essex","Female","335","300","33060","31280"
"In post","2023","Essex","West Essex","Male","315","290","31390","27650"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","5725","5305","37550","34000"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","8195","8025","42360","41000"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Female","3715","3385","36250","32660"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Male","3095","3000","38800","34970"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Female","855","760","31600","28120"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Male","590","555","34070","28120"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Female","310","280","32950","28120"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Male","175","170","35920","29910"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Female","3810","3580","36830","33990"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Male","4090","4005","40960","39890"
"In post","2023","Greater Manchester","Greater Manchester North East","Female","680","625","29800","28120"
"In post","2023","Greater Manchester","Greater Manchester North East","Male","420","400","31740","28120"
"In post","2023","Greater Manchester","Greater Manchester North West","Female","1450","1280","27120","26630"
"In post","2023","Greater Manchester","Greater Manchester North West","Male","745","720","28230","28120"
"In post","2023","Greater Manchester","Greater Manchester South East","Female","680","600","27570","25300"
"In post","2023","Greater Manchester","Greater Manchester South East","Male","355","340","27450","27400"
"In post","2023","Greater Manchester","Greater Manchester South West","Female","5025","4655","34090","29730"
"In post","2023","Greater Manchester","Greater Manchester South West","Male","5175","5050","35560","34210"
"In post","2023","Greater Manchester","Manchester","Female","4170","3935","35550","31270"
"In post","2023","Greater Manchester","Manchester","Male","3605","3505","37780","33130"
"In post","2023","Hampshire and Isle of Wight","Central Hampshire","Female","2040","1940","36740","34110"
"In post","2023","Hampshire and Isle of Wight","Central Hampshire","Male","2490","2430","40750","39890"
"In post","2023","Hampshire and Isle of Wight","Isle of Wight","Female","425","380","28390","28120"
"In post","2023","Hampshire and Isle of Wight","Isle of Wight","Male","505","475","30910","31510"
"In post","2023","Hampshire and Isle of Wight","North Hampshire","Female","615","570","32680","28120"
"In post","2023","Hampshire and Isle of Wight","North Hampshire","Male","430","415","40360","33990"
"In post","2023","Hampshire and Isle of Wight","Portsmouth","Female","1930","1755","32290","28120"
"In post","2023","Hampshire and Isle of Wight","Portsmouth","Male","2010","1945","34750","32160"
"In post","2023","Hampshire and Isle of Wight","South Hampshire","Female","2215","1875","32060","28120"
"In post","2023","Hampshire and Isle of Wight","South Hampshire","Male","1990","1785","32220","28600"
"In post","2023","Hampshire and Isle of Wight","South Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Hampshire and Isle of Wight","Southampton","Female","695","620","32020","28120"
"In post","2023","Hampshire and Isle of Wight","Southampton","Male","520","510","37950","31940"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Female","265","245","29950","27470"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Male","210","210","30880","27480"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","Female","755","670","29820","28120"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","Male","515","490","30330","27470"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Female","1305","1190","30380","28120"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Male","1070","1035","32530","30320"
"In post","2023","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","Female","100","85","29220","28120"
"In post","2023","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","Male","115","110","34050","31940"
"In post","2023","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","655","600","31360","28120"
"In post","2023","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","585","565","32000","28120"
"In post","2023","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Female","160","145","30910","28120"
"In post","2023","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Male","155","150","32180","29560"
"In post","2023","Highlands and Islands","Na h-Eileanan Siar","Female","90","85","27560","25310"
"In post","2023","Highlands and Islands","Na h-Eileanan Siar","Male","75","75","28770","28120"
"In post","2023","Highlands and Islands","Orkney Islands","Female","30","25","[c]","[c]"
"In post","2023","Highlands and Islands","Orkney Islands","Male","15","15","[c]","[c]"
"In post","2023","Highlands and Islands","Shetland Islands","Female","25","25","[c]","[c]"
"In post","2023","Highlands and Islands","Shetland Islands","Male","30","30","[c]","[c]"
"In post","2023","Inner London - East","Hackney and Newham","Female","3870","3585","41040","39110"
"In post","2023","Inner London - East","Hackney and Newham","Male","3400","3310","44400","39790"
"In post","2023","Inner London - East","Haringey and Islington","Female","860","795","33340","32520"
"In post","2023","Inner London - East","Haringey and Islington","Male","655","635","35140","33800"
"In post","2023","Inner London - East","Lambeth","Female","1295","1230","40700","38270"
"In post","2023","Inner London - East","Lambeth","Male","1140","1125","45420","41910"
"In post","2023","Inner London - East","Lewisham and Southwark","Female","745","705","35090","32520"
"In post","2023","Inner London - East","Lewisham and Southwark","Male","460","435","35450","33050"
"In post","2023","Inner London - East","Tower Hamlets","Female","3350","3195","49140","43650"
"In post","2023","Inner London - East","Tower Hamlets","Male","2960","2920","53260","52030"
"In post","2023","Inner London - West","Camden and City of London","Female","915","855","37030","29960"
"In post","2023","Inner London - West","Camden and City of London","Male","835","815","43000","33050"
"In post","2023","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Female","430","405","34490","32920"
"In post","2023","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Male","435","420","35370","33800"
"In post","2023","Inner London - West","Wandsworth","Female","490","450","33090","32520"
"In post","2023","Inner London - West","Wandsworth","Male","445","435","35640","33800"
"In post","2023","Inner London - West","Westminster","Female","30210","29055","49380","45230"
"In post","2023","Inner London - West","Westminster","Male","25420","25135","51710","50400"
"In post","2023","Inner London - West","Westminster","Unknown","5","5","[c]","[c]"
"In post","2023","Kent","East Kent","Female","2380","2165","29490","26180"
"In post","2023","Kent","East Kent","Male","2595","2485","29780","27470"
"In post","2023","Kent","Kent Thames Gateway","Female","780","715","30720","30940"
"In post","2023","Kent","Kent Thames Gateway","Male","750","720","33650","32920"
"In post","2023","Kent","Medway","Female","800","745","31920","30940"
"In post","2023","Kent","Medway","Male","605","590","34960","32130"
"In post","2023","Kent","Mid Kent","Female","555","510","31960","30320"
"In post","2023","Kent","Mid Kent","Male","430","415","34270","32000"
"In post","2023","Kent","West Kent","Female","95","85","37600","32520"
"In post","2023","Kent","West Kent","Male","90","90","37950","31900"
"In post","2023","Lancashire","Blackburn with Darwen","Female","230","205","29310","28120"
"In post","2023","Lancashire","Blackburn with Darwen","Male","160","155","29110","28120"
"In post","2023","Lancashire","Blackpool","Female","3360","2985","30550","28120"
"In post","2023","Lancashire","Blackpool","Male","2135","2065","33460","28120"
"In post","2023","Lancashire","Chorley and West Lancashire","Female","780","720","31500","28880"
"In post","2023","Lancashire","Chorley and West Lancashire","Male","770","720","34050","32060"
"In post","2023","Lancashire","East Lancashire","Female","305","275","29240","28120"
"In post","2023","Lancashire","East Lancashire","Male","155","150","30990","28120"
"In post","2023","Lancashire","Lancaster and Wyre","Female","710","645","29700","27470"
"In post","2023","Lancashire","Lancaster and Wyre","Male","495","470","31420","28120"
"In post","2023","Lancashire","Mid Lancashire","Female","3330","2905","29620","28080"
"In post","2023","Lancashire","Mid Lancashire","Male","2485","2350","30420","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Leicester","Female","1445","1275","28620","27450"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Leicester","Male","925","885","29000","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Female","1120","1005","29780","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Male","970","940","33180","31510"
"In post","2023","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Female","435","380","27230","24570"
"In post","2023","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Male","170","165","28900","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Female","715","640","28940","26840"
"In post","2023","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Male","415","395","31910","28880"
"In post","2023","Lincolnshire","Lincolnshire CC","Female","1625","1490","29400","27740"
"In post","2023","Lincolnshire","Lincolnshire CC","Male","1460","1405","32240","30400"
"In post","2023","Merseyside","East Merseyside","Female","790","690","29370","28120"
"In post","2023","Merseyside","East Merseyside","Male","340","320","31560","28120"
"In post","2023","Merseyside","Liverpool","Female","8655","7885","30460","26780"
"In post","2023","Merseyside","Liverpool","Male","6105","5930","31970","27890"
