"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","Heterosexual / straight","40","40","59750","56080"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","65","60","38070","37070"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2023","Analysis","Economics","AA/AO","Heterosexual / straight","45","45","22620","21200"
"In post","2023","Analysis","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","EO","Heterosexual / straight","115","115","27530","28130"
"In post","2023","Analysis","Economics","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","EO","Unknown","30","30","29030","29340"
"In post","2023","Analysis","Economics","G6/G7","Heterosexual / straight","535","520","61360","57650"
"In post","2023","Analysis","Economics","G6/G7","LGBO","50","50","59320","57030"
"In post","2023","Analysis","Economics","G6/G7","Undeclared","60","60","61850","60690"
"In post","2023","Analysis","Economics","G6/G7","Unknown","105","105","61520","58960"
"In post","2023","Analysis","Economics","SCS level","Heterosexual / straight","65","60","91370","83400"
"In post","2023","Analysis","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","SEO/HEO","Heterosexual / straight","465","460","37310","35700"
"In post","2023","Analysis","Economics","SEO/HEO","LGBO","60","60","36410","35410"
"In post","2023","Analysis","Economics","SEO/HEO","Undeclared","45","45","37280","35760"
"In post","2023","Analysis","Economics","SEO/HEO","Unknown","160","160","37320","36150"
"In post","2023","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","Heterosexual / straight","55","55","37900","38100"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","International Trade","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AA/AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Heterosexual / straight","130","115","26790","26090"
"In post","2023","Analysis","Operational Delivery","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Unknown","60","50","26960","25920"
"In post","2023","Analysis","Operational Delivery","G6/G7","Heterosexual / straight","60","55","55470","53010"
"In post","2023","Analysis","Operational Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","Heterosexual / straight","285","270","35580","35700"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","Unknown","110","110","34480","32710"
"In post","2023","Analysis","Operational Research","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6/G7","Heterosexual / straight","240","225","57790","57970"
"In post","2023","Analysis","Operational Research","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6/G7","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6/G7","Unknown","40","40","56780","56740"
"In post","2023","Analysis","Operational Research","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","SEO/HEO","Heterosexual / straight","270","260","38380","39110"
"In post","2023","Analysis","Operational Research","SEO/HEO","LGBO","40","40","37550","37870"
"In post","2023","Analysis","Operational Research","SEO/HEO","Undeclared","35","35","39980","39160"
