"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derby","AA","Female","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AA","Male","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AO","Female","265","210","21870","21690"
"In post","2023","East Midlands (England)","Derby","AO","Male","145","140","25780","21690"
"In post","2023","East Midlands (England)","Derby","EO","Female","195","170","27830","28120"
"In post","2023","East Midlands (England)","Derby","EO","Male","120","115","29070","28120"
"In post","2023","East Midlands (England)","Derby","G6","Female","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6","Male","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G7","Female","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G7","Male","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","HEO","Female","30","30","33940","34170"
"In post","2023","East Midlands (England)","Derby","HEO","Male","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO","Female","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO","Male","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","Unknown","Female","205","180","28730","26840"
"In post","2023","East Midlands (England)","Derby","Unknown","Male","70","70","32980","31980"
"In post","2023","East Midlands (England)","East Derbyshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","AO","Female","75","60","21640","21690"
"In post","2023","East Midlands (England)","East Derbyshire","AO","Male","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Female","90","75","27870","28120"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Male","40","40","28050","28120"
"In post","2023","East Midlands (England)","East Derbyshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G7","Male","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","HEO","Female","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","HEO","Male","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SEO","Female","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SEO","Male","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Female","60","55","28800","26840"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Male","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","AA","Female","50","45","21250","19930"
"In post","2023","East Midlands (England)","Leicester","AA","Male","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","AO","Female","535","450","22690","21780"
"In post","2023","East Midlands (England)","Leicester","AO","Male","370","350","24000","21780"
"In post","2023","East Midlands (England)","Leicester","EO","Female","355","310","27990","28120"
"In post","2023","East Midlands (England)","Leicester","EO","Male","285","275","28290","28120"
"In post","2023","East Midlands (England)","Leicester","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","G7","Female","65","55","53590","52060"
"In post","2023","East Midlands (England)","Leicester","G7","Male","30","30","54950","53350"
"In post","2023","East Midlands (England)","Leicester","HEO","Female","115","110","33790","34170"
"In post","2023","East Midlands (England)","Leicester","HEO","Male","75","70","34580","34310"
"In post","2023","East Midlands (England)","Leicester","SCS level","Female","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SEO","Female","70","65","41760","39670"
"In post","2023","East Midlands (England)","Leicester","SEO","Male","50","45","43160","41190"
"In post","2023","East Midlands (England)","Leicester","Unknown","Female","250","230","29420","28630"
"In post","2023","East Midlands (England)","Leicester","Unknown","Male","85","80","30370","26070"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA","Female","100","95","21130","19930"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA","Male","65","60","22390","23230"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AO","Female","395","340","24760","22400"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AO","Male","325","315","28420","28880"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Female","320","285","28360","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Male","295","280","29660","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6","Female","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6","Male","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G7","Female","30","30","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G7","Male","40","40","56600","54260"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","HEO","Female","135","130","34140","32790"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","HEO","Male","150","145","37350","38030"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO","Female","65","60","44780","42910"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO","Male","70","70","46380","44820"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Female","55","50","32770","31510"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Male","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA","Female","150","140","21990","21380"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA","Male","150","145","21680","21380"
"In post","2023","East Midlands (England)","Lincolnshire CC","AO","Female","530","475","23890","22220"
"In post","2023","East Midlands (England)","Lincolnshire CC","AO","Male","465","450","27420","28880"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Female","390","350","28180","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Male","345","330","29440","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6","Female","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6","Male","25","20","[c]","[c]"
