"Status","Year","Age","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Inner London - West","Westminster","10","10","23200","20980"
"In post","2023","16-19","Attorney General's Departments","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands","Birmingham","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Yorkshire","Leeds","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Devon","Devon CC","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Shropshire and Staffordshire","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","West Surrey","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","West Midlands","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Shropshire and Staffordshire","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","West Wales and The Valleys","Swansea","80","70","20770","19000"
"In post","2023","16-19","Department for Transport","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
