"Status","Year","Organisation","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","AA","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","AA","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","HEO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","HEO","Male","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO","Female","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G7","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Outside London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
