"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","15","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Female","15","15","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","Male","[c]","[c]","[c]","[c]"
