"Status","Year","Disability","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","110","105","37410","34830"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","125","120","41620","39890"
"In post","2023","Declared disabled","Analysis","Greater Manchester","40","35","42670","40000"
"In post","2023","Declared disabled","Analysis","Hampshire and Isle of Wight","165","155","43830","39890"
"In post","2023","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - East","95","90","47100","43650"
"In post","2023","Declared disabled","Analysis","Inner London - West","240","225","47830","43320"
"In post","2023","Declared disabled","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Merseyside","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northumberland, and Tyne and Wear","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Outer London - South","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South Yorkshire","45","40","43660","43780"
"In post","2023","Declared disabled","Analysis","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Surrey, East and West Sussex","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Tees Valley and Durham","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Central Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Yorkshire","35","35","39170","36990"
"In post","2023","Declared disabled","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Devon","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Dorset and Somerset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Anglia","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Wales","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Eastern Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","170","160","44930","42620"
"In post","2023","Declared disabled","Commercial","Greater Manchester","35","35","46180","39750"
"In post","2023","Declared disabled","Commercial","Hampshire and Isle of Wight","35","35","44080","39890"
"In post","2023","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
