"Status","Year","Ethnicity","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Outside London","AA/AO","790","685","22610","21780"
"In post","2023","Asian","East Midlands (England)","Outside London","EO","620","575","27870","28120"
"In post","2023","Asian","East Midlands (England)","Outside London","G6/G7","110","105","59310","57970"
"In post","2023","Asian","East Midlands (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Outside London","SEO/HEO","445","430","37050","35000"
"In post","2023","Asian","East Midlands (England)","Outside London","Unknown","110","100","28420","25300"
"In post","2023","Asian","East of England","Outside London","AA/AO","420","355","24330","22820"
"In post","2023","Asian","East of England","Outside London","EO","420","385","29300","28200"
"In post","2023","Asian","East of England","Outside London","G6/G7","85","85","62310","59840"
"In post","2023","Asian","East of England","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","East of England","Outside London","SEO/HEO","230","220","38970","38020"
"In post","2023","Asian","East of England","Outside London","Unknown","70","65","28630","26840"
"In post","2023","Asian","London","London","AA/AO","2340","2085","26310","25610"
"In post","2023","Asian","London","London","EO","4305","3990","31230","31310"
"In post","2023","Asian","London","London","G6/G7","2775","2700","61590","59510"
"In post","2023","Asian","London","London","SCS level","240","235","92260","84080"
"In post","2023","Asian","London","London","SEO/HEO","5195","5075","39870","39610"
"In post","2023","Asian","London","London","Unknown","205","195","33730","33050"
"In post","2023","Asian","North East (England)","Outside London","AA/AO","255","230","22240","22400"
"In post","2023","Asian","North East (England)","Outside London","EO","175","160","27720","28120"
"In post","2023","Asian","North East (England)","Outside London","G6/G7","70","70","56960","55180"
"In post","2023","Asian","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Outside London","SEO/HEO","165","160","37270","35000"
"In post","2023","Asian","North East (England)","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","North West (England)","Outside London","AA/AO","1175","1040","22330","22220"
"In post","2023","Asian","North West (England)","Outside London","EO","1025","965","27710","28120"
"In post","2023","Asian","North West (England)","Outside London","G6/G7","250","245","56540","55290"
"In post","2023","Asian","North West (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Outside London","SEO/HEO","865","840","36520","35000"
"In post","2023","Asian","North West (England)","Outside London","Unknown","135","125","28810","25300"
"In post","2023","Asian","Northern Ireland","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","SEO/HEO","10","5","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","EO","15","15","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","G6/G7","65","65","61540","60080"
"In post","2023","Asian","Overseas","Overseas","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","SEO/HEO","55","55","39540","35810"
"In post","2023","Asian","Overseas","Overseas","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Scotland","Outside London","AA/AO","270","240","23260","22520"
"In post","2023","Asian","Scotland","Outside London","EO","200","190","28480","28120"
"In post","2023","Asian","Scotland","Outside London","G6/G7","85","85","61050","59470"
"In post","2023","Asian","Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Outside London","SEO/HEO","235","235","40530","38330"
"In post","2023","Asian","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","South East (England)","Outside London","AA/AO","520","465","24820","23300"
"In post","2023","Asian","South East (England)","Outside London","EO","520","480","29540","29080"
"In post","2023","Asian","South East (England)","Outside London","G6/G7","120","115","59280","56280"
"In post","2023","Asian","South East (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","South East (England)","Outside London","SEO/HEO","345","330","37320","36940"
"In post","2023","Asian","South East (England)","Outside London","Unknown","60","55","28260","25300"
