"Status","Year","Function_of_post","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Female","35","35","30910","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Male","45","45","31150","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","245","230","33390","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","255","250","38090","37300"
"In post","2023","Analysis","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Female","40","40","66500","58050"
"In post","2023","Analysis","Competition and Markets Authority","London","Male","85","85","62920","58050"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Outside London","Female","280","265","42200","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Outside London","Male","765","745","45380","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","75","75","44040","36230"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","105","105","42410","36460"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Female","45","45","52210","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Male","60","60","51610","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","Female","130","120","49660","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","Male","90","90","53050","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Outside London","Female","200","190","43500","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Outside London","Male","155","150","44850","43250"
"In post","2023","Analysis","Department for International Trade","London","Female","100","95","47180","41750"
"In post","2023","Analysis","Department for International Trade","London","Male","145","145","50570","55370"
"In post","2023","Analysis","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
