"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6/G7","Heterosexual / straight","35","35","63180","56780"
"In post","2023","Commercial","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","Heterosexual / straight","50","50","39160","39160"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","G6/G7","Heterosexual / straight","40","40","66280","65500"
"In post","2023","Commercial","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","East of England","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","SEO/HEO","Heterosexual / straight","115","110","38470","38180"
"In post","2023","Commercial","East of England","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","East of England","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","London","EO","Heterosexual / straight","70","70","31060","31190"
"In post","2023","Commercial","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","London","EO","Unknown","30","30","[c]","[c]"
"In post","2023","Commercial","London","G6/G7","Heterosexual / straight","495","485","67030","66270"
"In post","2023","Commercial","London","G6/G7","LGBO","40","40","65250","65500"
"In post","2023","Commercial","London","G6/G7","Undeclared","65","65","65370","64900"
"In post","2023","Commercial","London","G6/G7","Unknown","165","160","65580","65500"
"In post","2023","Commercial","London","SCS level","Heterosexual / straight","130","125","119540","116600"
"In post","2023","Commercial","London","SCS level","LGBO","5","5","[c]","[c]"
