"Status","Year","Organisation","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","SEO","10","10","48060","49860"
"In post","2023","Accountant in Bankruptcy","Scotland","West Central Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","Surrey, East and West Sussex","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","West Wales and The Valleys","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","G7","10","10","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","SEO","15","15","39860","39430"
"In post","2023","Active Travel England","Yorkshire and The Humber","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","West Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","West Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","West Yorkshire","HEO","[c]","[c]","[c]","[c]"
