"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","London","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Outside London","310","290","43230","38840"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","London","20","20","57760","61980"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","London","10","10","51560","51620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","London","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","London","10","10","53890","58030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","Outside London","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","London","10","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","London","15","15","46800","39040"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","London","25","25","43280","37540"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","Outside London","25","25","38600","34380"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","London","75","75","51220","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","45","45","43920","48190"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","London","95","90","63830","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","Outside London","65","65","46040","39990"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","London","135","135","52470","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","Outside London","15","15","37800","38460"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","London","15","15","60470","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","Outside London","10","10","55560","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","London","705","695","54880","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Outside London","315","310","47040","50690"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","London","25","25","58730","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","London","80","80","60610","44770"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Outside London","35","30","45280","36850"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","London","355","340","50560","44770"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Outside London","520","485","35720","33020"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Unknown","15","15","48980","45870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","London","45","45","41370","36170"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","London","60","60","83460","81600"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","London","285","280","51980","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Outside London","85","80","46730","50200"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Unknown","10","10","45740","49700"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","London","50","50","64140","59060"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","Outside London","30","30","44990","40800"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","London","10","10","62310","62820"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","Outside London","15","15","64880","52040"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","London","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","London","140","135","54030","55790"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","Outside London","235","225","34210","34320"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","Unknown","15","15","35920","35740"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","London","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","London","1550","1520","52210","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Outside London","835","800","35780","32640"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Unknown","105","105","41090","32640"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","London","65","65","30450","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","Outside London","25","25","30440","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","London","10","10","33660","34250"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","London","90","90","31130","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","Outside London","65","65","30340","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
