"Status","Year","Disability","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","West Midlands (England)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","East Midlands (England)","210","185","26960","27170"
"In post","2023","Declared disabled","Asian","No function","East of England","120","100","29950","28120"
"In post","2023","Declared disabled","Asian","No function","London","965","885","35550","32520"
"In post","2023","Declared disabled","Asian","No function","North East (England)","45","40","26240","27890"
"In post","2023","Declared disabled","Asian","No function","North West (England)","280","250","28010","26990"
"In post","2023","Declared disabled","Asian","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Scotland","30","30","28520","26140"
"In post","2023","Declared disabled","Asian","No function","South East (England)","95","85","30570","30120"
"In post","2023","Declared disabled","Asian","No function","South West (England)","35","30","33060","28120"
"In post","2023","Declared disabled","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Wales","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","West Midlands (England)","460","415","28280","28120"
"In post","2023","Declared disabled","Asian","No function","Yorkshire and The Humber","185","170","29040","28120"
"In post","2023","Declared disabled","Asian","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","London","70","70","44620","42060"
"In post","2023","Declared disabled","Asian","Project Delivery","North East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","North West (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","South West (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","West Midlands (England)","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","South East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","London","40","40","36910","32960"
"In post","2023","Declared disabled","Asian","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Scotland","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","South West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Wales","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","London","80","70","32320","32520"
"In post","2023","Declared disabled","Black","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","London","45","45","45030","41540"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","North West (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
