"Status","Year","Organisation","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","Department for Transport","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","SEO/HEO","10","10","40030","39430"
"In post","2023","Active Travel England","Department for Transport","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","SEO/HEO","15","10","38250","36280"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","15","15","63950","61780"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","40","40","42730","43360"
