"Status","Year","Age","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
