"Status","Year","Function_of_post","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Department for Transport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Department for Transport","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Inner London - West","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","15","15","51180","48830"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","West Central Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Inner London - East","10","10","30150","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Inner London - West","65","65","31130","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Devon","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Dorset and Somerset","135","130","34820","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East Anglia","345","325","36460","32080"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","North Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","Inner London - West","[c]","[c]","[c]","[c]"
