"Status","Year","Age","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA","255","245","21690","23110"
"In post","2023","16-19","AO","905","880","23340","22520"
"In post","2023","16-19","EO","170","170","26940","26070"
"In post","2023","16-19","HEO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","110","105","20600","19090"
"In post","2023","20-29","AA","3045","2945","22530","23230"
"In post","2023","20-29","AO","24315","23720","24920","22520"
"In post","2023","20-29","EO","21090","20840","28510","28120"
"In post","2023","20-29","G6","335","335","67510","66530"
"In post","2023","20-29","G7","5025","5010","55380","55120"
"In post","2023","20-29","HEO","18010","17925","33950","34110"
"In post","2023","20-29","SCS level","15","15","81010","74680"
"In post","2023","20-29","SEO","7935","7905","41610","41550"
"In post","2023","20-29","Unknown","5360","5250","26570","24570"
"In post","2023","30-39","AA","2565","2365","22580","23230"
"In post","2023","30-39","AO","22890","21105","25330","22520"
"In post","2023","30-39","EO","26805","25535","29000","28120"
"In post","2023","30-39","G6","4820","4680","68630","67260"
"In post","2023","30-39","G7","15680","15300","55860","55230"
"In post","2023","30-39","HEO","20560","19955","34820","34700"
"In post","2023","30-39","SCS level","1025","1000","81830","77450"
"In post","2023","30-39","SEO","16145","15760","42340","41800"
"In post","2023","30-39","Unknown","5845","5485","31560","30810"
"In post","2023","40-49","AA","2830","2605","22310","22520"
"In post","2023","40-49","AO","22265","19925","24550","22520"
"In post","2023","40-49","EO","26810","25000","28970","28120"
"In post","2023","40-49","G6","7245","6975","70540","69390"
"In post","2023","40-49","G7","15725","15165","56820","56040"
"In post","2023","40-49","HEO","18375","17680","35390","34700"
"In post","2023","40-49","SCS level","3005","2900","89440","81950"
"In post","2023","40-49","SEO","16220","15685","43230","42150"
"In post","2023","40-49","Unknown","5905","5500","35010","33340"
"In post","2023","50-59","AA","5550","5140","22140","22130"
"In post","2023","50-59","AO","31055","27855","24290","22520"
"In post","2023","50-59","EO","36920","34350","29350","28120"
"In post","2023","50-59","G6","6785","6625","72370","71300"
"In post","2023","50-59","G7","14525","14145","57620","56870"
"In post","2023","50-59","HEO","20860","20135","35910","34970"
"In post","2023","50-59","SCS level","2760","2705","96850","87940"
"In post","2023","50-59","SEO","17335","16865","43930","42510"
"In post","2023","50-59","Unknown","5810","5495","35320","31490"
"In post","2023","60-64","AA","3005","2520","21840","21380"
"In post","2023","60-64","AO","12110","9785","23790","22500"
"In post","2023","60-64","EO","11900","9555","29340","28120"
"In post","2023","60-64","G6","1225","1095","73330","72200"
"In post","2023","60-64","G7","2795","2445","58520","57970"
"In post","2023","60-64","HEO","5540","4680","36170","35000"
"In post","2023","60-64","SCS level","460","420","103170","96000"
"In post","2023","60-64","SEO","3965","3440","44520","43400"
"In post","2023","60-64","Unknown","1990","1760","34280","29590"
"In post","2023","65+","AA","1450","1110","21720","21380"
"In post","2023","65+","AO","4350","3355","23790","22500"
"In post","2023","65+","EO","3630","2680","29440","28120"
"In post","2023","65+","G6","330","255","74940","74390"
"In post","2023","65+","G7","730","585","59320","59290"
"In post","2023","65+","HEO","1535","1210","36630","35450"
"In post","2023","65+","SCS level","115","95","113990","107670"
"In post","2023","65+","SEO","1020","815","45770","44930"
"In post","2023","65+","Unknown","700","545","32810","29050"
"In post","2023","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","10","10","28500","28120"
"In post","2023","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","HEO","10","10","34560","34390"
"In post","2023","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA","45","[c]","20410","20170"
"Leaver CS","2023","16-19","AO","105","[c]","22200","21780"
"Leaver CS","2023","16-19","EO","10","[c]","21140","18370"
"Leaver CS","2023","16-19","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","15","[c]","17790","16960"
"Leaver CS","2023","20-29","AA","840","[c]","21140","20100"
"Leaver CS","2023","20-29","AO","4700","[c]","22610","21780"
"Leaver CS","2023","20-29","EO","2540","[c]","27960","27760"
"Leaver CS","2023","20-29","G6","30","[c]","64710","66000"
"Leaver CS","2023","20-29","G7","355","[c]","54530","54130"
"Leaver CS","2023","20-29","HEO","1655","[c]","33230","33210"
"Leaver CS","2023","20-29","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SEO","675","[c]","41040","41000"
