"Status","Year","Age","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Female","40","40","24720","23230"
"In post","2023","16-19","East Midlands (England)","Male","45","45","24510","23230"
"In post","2023","16-19","East of England","Female","40","35","24030","23230"
"In post","2023","16-19","East of England","Male","35","35","24510","23230"
"In post","2023","16-19","London","Female","65","65","27030","26920"
"In post","2023","16-19","London","Male","60","55","27260","26400"
"In post","2023","16-19","North East (England)","Female","45","40","23520","22520"
"In post","2023","16-19","North East (England)","Male","40","35","24070","22520"
"In post","2023","16-19","North West (England)","Female","95","85","23370","22520"
"In post","2023","16-19","North West (England)","Male","50","50","24100","22520"
"In post","2023","16-19","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Female","65","60","22940","22520"
"In post","2023","16-19","Scotland","Male","70","65","22460","22460"
"In post","2023","16-19","South East (England)","Female","85","85","23970","22750"
"In post","2023","16-19","South East (England)","Male","100","95","23520","23230"
"In post","2023","16-19","South West (England)","Female","65","65","21840","21690"
"In post","2023","16-19","South West (England)","Male","145","145","20560","19460"
"In post","2023","16-19","Unknown","Female","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Male","25","25","[c]","[c]"
"In post","2023","16-19","Wales","Female","90","85","21840","22500"
"In post","2023","16-19","Wales","Male","70","65","21320","22150"
"In post","2023","16-19","West Midlands (England)","Female","40","40","22830","22420"
"In post","2023","16-19","West Midlands (England)","Male","45","45","24360","23230"
"In post","2023","16-19","Yorkshire and The Humber","Female","65","65","23420","22520"
"In post","2023","16-19","Yorkshire and The Humber","Male","60","55","24320","22520"
"In post","2023","20-29","East Midlands (England)","Female","2100","2035","27220","26900"
"In post","2023","20-29","East Midlands (England)","Male","1520","1505","28170","28120"
"In post","2023","20-29","East of England","Female","1675","1625","28030","27000"
"In post","2023","20-29","East of England","Male","1305","1295","28950","28880"
"In post","2023","20-29","London","Female","13095","13000","37980","35240"
"In post","2023","20-29","London","Male","9600","9560","39020","35760"
"In post","2023","20-29","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North East (England)","Female","2695","2615","27650","27650"
"In post","2023","20-29","North East (England)","Male","2175","2150","28420","27890"
"In post","2023","20-29","North West (England)","Female","5955","5830","27930","26870"
"In post","2023","20-29","North West (England)","Male","4465","4435","28390","27650"
"In post","2023","20-29","Northern Ireland","Female","320","310","26850","25750"
"In post","2023","20-29","Northern Ireland","Male","285","285","26300","22520"
"In post","2023","20-29","Overseas","Female","200","200","38460","34220"
"In post","2023","20-29","Overseas","Male","140","140","39750","35660"
"In post","2023","20-29","Scotland","Female","4480","4375","29510","28120"
"In post","2023","20-29","Scotland","Male","3360","3335","29020","27650"
"In post","2023","20-29","South East (England)","Female","3300","3240","28950","28120"
"In post","2023","20-29","South East (England)","Male","2770","2750","29300","28410"
"In post","2023","20-29","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","South West (England)","Female","3605","3530","29270","28120"
"In post","2023","20-29","South West (England)","Male","3665","3650","30030","28880"
"In post","2023","20-29","Unknown","Female","145","140","31700","29860"
"In post","2023","20-29","Unknown","Male","400","400","31610","29880"
"In post","2023","20-29","Wales","Female","3025","2925","27630","25920"
"In post","2023","20-29","Wales","Male","2365","2345","28220","27250"
"In post","2023","20-29","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","West Midlands (England)","Female","3145","3055","27810","26940"
"In post","2023","20-29","West Midlands (England)","Male","2260","2240","28800","28120"
"In post","2023","20-29","Yorkshire and The Humber","Female","3965","3870","28890","28120"
"In post","2023","20-29","Yorkshire and The Humber","Male","3110","3090","28990","28120"
"In post","2023","30-39","East Midlands (England)","Female","2725","2480","31440","28480"
"In post","2023","30-39","East Midlands (England)","Male","2140","2120","32680","30470"
"In post","2023","30-39","East of England","Female","2305","2080","31720","29970"
"In post","2023","30-39","East of England","Male","1805","1790","33380","31510"
"In post","2023","30-39","London","Female","13620","13035","47700","44140"
"In post","2023","30-39","London","Male","11580","11495","48280","45350"
"In post","2023","30-39","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","North East (England)","Female","4035","3665","30940","28120"
"In post","2023","30-39","North East (England)","Male","3325","3280","33240","30310"
"In post","2023","30-39","North West (England)","Female","7955","7355","31830","28120"
"In post","2023","30-39","North West (England)","Male","6920","6845","33070","28880"
"In post","2023","30-39","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Northern Ireland","Female","530","495","31750","28130"
"In post","2023","30-39","Northern Ireland","Male","595","590","31430","27890"
"In post","2023","30-39","Overseas","Female","460","460","50190","53050"
"In post","2023","30-39","Overseas","Male","565","565","50020","52400"
"In post","2023","30-39","Scotland","Female","6875","6405","35520","32330"
"In post","2023","30-39","Scotland","Male","5910","5865","35560","33260"
"In post","2023","30-39","South East (England)","Female","4165","3805","33050","31280"
"In post","2023","30-39","South East (England)","Male","3810","3770","34720","32410"
"In post","2023","30-39","South West (England)","Female","5325","4840","35560","33710"
"In post","2023","30-39","South West (England)","Male","4985","4935","37930","35710"
"In post","2023","30-39","Unknown","Female","130","125","37730","34380"
"In post","2023","30-39","Unknown","Male","440","440","39680","38710"
"In post","2023","30-39","Wales","Female","5315","4845","31980","28120"
"In post","2023","30-39","Wales","Male","4155","4110","33680","30810"
"In post","2023","30-39","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","West Midlands (England)","Female","4165","3835","31660","28120"
"In post","2023","30-39","West Midlands (England)","Male","3375","3330","33260","30440"
"In post","2023","30-39","Yorkshire and The Humber","Female","4820","4375","33490","30440"
"In post","2023","30-39","Yorkshire and The Humber","Male","4295","4240","34330","32000"
"In post","2023","40-49","East Midlands (England)","Female","3205","2870","33620","28480"
"In post","2023","40-49","East Midlands (England)","Male","2195","2155","34860","31920"
"In post","2023","40-49","East of England","Female","2910","2580","34300","31280"
"In post","2023","40-49","East of England","Male","2220","2190","35190","32060"
"In post","2023","40-49","London","Female","12385","11410","49550","43980"
"In post","2023","40-49","London","Male","10075","9970","52010","46470"
"In post","2023","40-49","London","Unknown","[c]","[c]","[c]","[c]"
