"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Heterosexual / straight","50","50","49300","44730"
"In post","2023","Analysis","Digital, Data and Technology","London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","Heterosexual / straight","915","900","51810","54630"
"In post","2023","Analysis","Economics","London","LGBO","95","95","49110","46080"
"In post","2023","Analysis","Economics","London","Undeclared","100","95","52670","54810"
"In post","2023","Analysis","Economics","London","Unknown","240","240","48260","43320"
"In post","2023","Analysis","Economics","North East (England)","Heterosexual / straight","40","40","34830","30780"
"In post","2023","Analysis","Economics","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Heterosexual / straight","75","75","39470","34700"
"In post","2023","Analysis","Economics","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Heterosexual / straight","80","75","37830","31560"
"In post","2023","Analysis","Economics","Wales","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Heterosexual / straight","35","35","49910","52120"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
