"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","EO","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","G6/G7","20","20","54520","51770"
"In post","2023","Analysis","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","SEO/HEO","45","45","37170","37680"
"In post","2023","Analysis","East Midlands (England)","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","SEO/HEO","20","15","37440","36620"
"In post","2023","Analysis","East of England","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","East of England","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Essex Thames Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Heart of Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","SEO/HEO","10","10","42370","42060"
"In post","2023","Analysis","East of England","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Luton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","North and West Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Norwich and East Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Peterborough","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Peterborough","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Southend-on-Sea","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Suffolk CC","AA/AO","15","15","21600","22150"
"In post","2023","Analysis","East of England","Suffolk CC","EO","55","50","26010","25920"
"In post","2023","Analysis","East of England","Suffolk CC","G6/G7","75","75","53250","49400"
"In post","2023","Analysis","East of England","Suffolk CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Suffolk CC","SEO/HEO","200","190","34020","31690"
"In post","2023","Analysis","London","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Barnet","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Brent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Camden and City of London","EO","15","15","29470","30090"
"In post","2023","Analysis","London","Camden and City of London","G6/G7","110","100","89290","84100"
