"Status","Year","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","60","60","25560","24840"
"In post","2023","16-19","Commercial","5","5","[c]","[c]"
"In post","2023","16-19","Communications","5","5","[c]","[c]"
"In post","2023","16-19","Counter Fraud","10","10","23200","22520"
"In post","2023","16-19","Debt","55","55","22550","22520"
"In post","2023","16-19","Digital, Data & Technology","40","40","24170","23800"
"In post","2023","16-19","Finance","40","35","22640","22520"
"In post","2023","16-19","Grants Management","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","20","20","23380","22220"
"In post","2023","16-19","Legal","60","60","21320","20980"
"In post","2023","16-19","No function","920","885","23590","22520"
"In post","2023","16-19","Project Delivery","40","40","20810","19430"
"In post","2023","16-19","Property","50","50","23070","22640"
"In post","2023","16-19","Security","15","15","25380","24610"
"In post","2023","16-19","Unknown","115","115","21860","22180"
"In post","2023","20-29","Analysis","3700","3680","37620","35410"
"In post","2023","20-29","Commercial","1205","1200","35580","32800"
"In post","2023","20-29","Communications","850","850","36440","35400"
"In post","2023","20-29","Counter Fraud","2000","1980","30680","28130"
"In post","2023","20-29","Debt","1720","1665","23440","22520"
"In post","2023","20-29","Digital, Data & Technology","4005","3980","35330","34170"
"In post","2023","20-29","Finance","1720","1700","33320","31290"
"In post","2023","20-29","Grants Management","425","420","24370","22150"
"In post","2023","20-29","Human Resources","1670","1655","33000","30770"
"In post","2023","20-29","Internal Audit","50","50","34590","33960"
"In post","2023","20-29","Legal","1980","1960","32690","28170"
"In post","2023","20-29","No function","54195","53300","30300","28130"
"In post","2023","20-29","Project Delivery","3335","3315","35060","33500"
"In post","2023","20-29","Property","1110","1095","30070","27740"
"In post","2023","20-29","Security","1305","1300","30340","28190"
"In post","2023","20-29","Unknown","5855","5790","31530","30130"
"In post","2023","30-39","Analysis","2875","2775","47340","43750"
"In post","2023","30-39","Commercial","1765","1720","44730","41200"
"In post","2023","30-39","Communications","1220","1185","46000","43490"
"In post","2023","30-39","Counter Fraud","3535","3415","34120","32540"
"In post","2023","30-39","Debt","1590","1455","24300","22520"
"In post","2023","30-39","Digital, Data & Technology","6405","6280","43040","40050"
"In post","2023","30-39","Finance","2635","2545","42220","38470"
"In post","2023","30-39","Grants Management","490","460","26390","22150"
"In post","2023","30-39","Human Resources","3015","2890","39020","35110"
"In post","2023","30-39","Internal Audit","135","130","44990","42810"
"In post","2023","30-39","Legal","3150","3005","48750","52020"
"In post","2023","30-39","No function","73425","69715","34390","31060"
"In post","2023","30-39","Project Delivery","5200","5060","44790","41800"
"In post","2023","30-39","Property","1425","1380","36380","33990"
"In post","2023","30-39","Security","1905","1885","35570","33990"
"In post","2023","30-39","Unknown","7560","7285","40280","38330"
"In post","2023","40-49","Analysis","2035","1910","51480","49470"
"In post","2023","40-49","Commercial","1900","1845","52210","45050"
"In post","2023","40-49","Communications","1050","990","49360","44650"
"In post","2023","40-49","Counter Fraud","3765","3570","35240","34170"
"In post","2023","40-49","Debt","1455","1295","24930","22520"
"In post","2023","40-49","Digital, Data & Technology","7000","6835","46700","42650"
"In post","2023","40-49","Finance","3240","3100","44280","40200"
"In post","2023","40-49","Grants Management","775","705","26880","22150"
"In post","2023","40-49","Human Resources","3545","3395","42050","38090"
"In post","2023","40-49","Internal Audit","185","175","49250","46480"
"In post","2023","40-49","Legal","3500","3215","52410","54100"
"In post","2023","40-49","No function","72605","67715","35400","30410"
"In post","2023","40-49","Project Delivery","5590","5400","49290","44600"
"In post","2023","40-49","Property","1945","1880","39700","37300"
"In post","2023","40-49","Security","2125","2095","37940","37770"
"In post","2023","40-49","Unknown","7660","7320","46540","42860"
"In post","2023","50-59","Analysis","1295","1230","50830","49260"
"In post","2023","50-59","Commercial","1880","1835","54090","46080"
"In post","2023","50-59","Communications","795","770","44370","39890"
"In post","2023","50-59","Counter Fraud","5570","5250","34970","32520"
"In post","2023","50-59","Debt","1940","1735","25700","22520"
"In post","2023","50-59","Digital, Data & Technology","6880","6715","45790","42140"
"In post","2023","50-59","Finance","3935","3740","42260","38470"
"In post","2023","50-59","Grants Management","645","605","28070","25920"
"In post","2023","50-59","Human Resources","4510","4370","41190","36180"
"In post","2023","50-59","Internal Audit","270","265","51600","48380"
"In post","2023","50-59","Legal","3615","3385","50860","53750"
"In post","2023","50-59","No function","90395","84110","33670","28130"
"In post","2023","50-59","Project Delivery","6255","6080","50180","45150"
"In post","2023","50-59","Property","3000","2905","40170","35660"
"In post","2023","50-59","Security","3385","3330","35750","33020"
"In post","2023","50-59","Unknown","7230","6985","47310","42860"
"In post","2023","60-64","Analysis","265","230","46500","45980"
"In post","2023","60-64","Commercial","415","375","49440","43020"
"In post","2023","60-64","Communications","185","170","41520","36920"
"In post","2023","60-64","Counter Fraud","1725","1340","33500","29730"
"In post","2023","60-64","Debt","760","605","25510","22520"
"In post","2023","60-64","Digital, Data & Technology","1565","1400","42330","39000"
"In post","2023","60-64","Finance","995","840","38470","34500"
"In post","2023","60-64","Grants Management","200","170","26420","22150"
"In post","2023","60-64","Human Resources","1275","1140","37500","34300"
"In post","2023","60-64","Internal Audit","85","70","48280","46290"
"In post","2023","60-64","Legal","815","690","49500","54100"
"In post","2023","60-64","No function","29460","24050","31030","28120"
"In post","2023","60-64","Project Delivery","1475","1255","47150","42220"
"In post","2023","60-64","Property","990","880","36300","34210"
"In post","2023","60-64","Security","960","875","30800","24610"
"In post","2023","60-64","Unknown","1815","1605","43800","39690"
"In post","2023","65+","Analysis","95","75","47540","42510"
"In post","2023","65+","Commercial","105","95","46850","43450"
"In post","2023","65+","Communications","45","40","35860","34140"
"In post","2023","65+","Counter Fraud","540","370","31870","28120"
"In post","2023","65+","Debt","235","170","25300","22520"
"In post","2023","65+","Digital, Data & Technology","445","375","40470","36990"
"In post","2023","65+","Finance","300","240","35110","31580"
"In post","2023","65+","Grants Management","70","55","24490","22150"
"In post","2023","65+","Human Resources","380","315","34290","32410"
"In post","2023","65+","Internal Audit","10","10","42730","41360"
"In post","2023","65+","Legal","265","195","49890","56320"
"In post","2023","65+","No function","9655","7290","29980","27190"
"In post","2023","65+","Project Delivery","400","320","48400","42510"
"In post","2023","65+","Property","385","330","34600","31540"
"In post","2023","65+","Security","335","285","29600","24380"
"In post","2023","65+","Unknown","595","485","42980","38330"
"In post","2023","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2023","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","20","20","31420","30200"
"In post","2023","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Debt","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Digital, Data & Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Grants Management","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","No function","115","[c]","21940","21780"
"Leaver CS","2023","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","20","[c]","20470","22180"
"Leaver CS","2023","20-29","Analysis","490","[c]","29200","26960"
"Leaver CS","2023","20-29","Commercial","150","[c]","34140","31960"
"Leaver CS","2023","20-29","Communications","140","[c]","33240","33210"
"Leaver CS","2023","20-29","Counter Fraud","140","[c]","28970","28120"
"Leaver CS","2023","20-29","Debt","225","[c]","22120","21690"
"Leaver CS","2023","20-29","Digital, Data & Technology","500","[c]","33450","32000"
"Leaver CS","2023","20-29","Finance","175","[c]","31270","28870"
"Leaver CS","2023","20-29","Grants Management","45","[c]","22260","22150"
"Leaver CS","2023","20-29","Human Resources","215","[c]","27990","25460"
"Leaver CS","2023","20-29","Internal Audit","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Legal","205","[c]","28910","26900"
"Leaver CS","2023","20-29","No function","7770","[c]","27840","25880"
"Leaver CS","2023","20-29","Project Delivery","315","[c]","31710","31920"
"Leaver CS","2023","20-29","Property","130","[c]","29120","26530"
"Leaver CS","2023","20-29","Security","175","[c]","27350","27420"
"Leaver CS","2023","20-29","Unknown","760","[c]","28150","27140"
"Leaver CS","2023","30-39","Analysis","180","[c]","44330","40050"
"Leaver CS","2023","30-39","Commercial","160","[c]","46820","42000"
"Leaver CS","2023","30-39","Communications","140","[c]","44290","41870"
"Leaver CS","2023","30-39","Counter Fraud","115","[c]","33620","28120"
"Leaver CS","2023","30-39","Debt","140","[c]","21840","21690"
"Leaver CS","2023","30-39","Digital, Data & Technology","640","[c]","45390","43160"
"Leaver CS","2023","30-39","Finance","155","[c]","42700","40700"
"Leaver CS","2023","30-39","Grants Management","35","[c]","23700","22150"
"Leaver CS","2023","30-39","Human Resources","270","[c]","35990","32520"
"Leaver CS","2023","30-39","Internal Audit","10","[c]","43920","38440"
"Leaver CS","2023","30-39","Legal","195","[c]","48770","52020"
"Leaver CS","2023","30-39","No function","5975","[c]","33490","29080"
"Leaver CS","2023","30-39","Project Delivery","295","[c]","42530","40580"
"Leaver CS","2023","30-39","Property","105","[c]","35840","33150"
"Leaver CS","2023","30-39","Security","145","[c]","32780","30200"
"Leaver CS","2023","30-39","Unknown","630","[c]","38760","34760"
"Leaver CS","2023","40-49","Analysis","80","[c]","51630","49260"
"Leaver CS","2023","40-49","Commercial","125","[c]","63410","60540"
"Leaver CS","2023","40-49","Communications","90","[c]","54550","52790"
"Leaver CS","2023","40-49","Counter Fraud","90","[c]","31880","28120"
"Leaver CS","2023","40-49","Debt","110","[c]","22170","21690"
"Leaver CS","2023","40-49","Digital, Data & Technology","425","[c]","51740","50200"
"Leaver CS","2023","40-49","Finance","110","[c]","46970","43700"
"Leaver CS","2023","40-49","Grants Management","30","[c]","23550","22150"
"Leaver CS","2023","40-49","Human Resources","215","[c]","41810","34760"
"Leaver CS","2023","40-49","Internal Audit","10","[c]","50500","49530"
"Leaver CS","2023","40-49","Legal","175","[c]","53670","54180"
"Leaver CS","2023","40-49","No function","4245","[c]","34670","28120"
"Leaver CS","2023","40-49","Project Delivery","210","[c]","49820","47960"
"Leaver CS","2023","40-49","Property","75","[c]","38620","33750"
"Leaver CS","2023","40-49","Security","105","[c]","33750","32190"
"Leaver CS","2023","40-49","Unknown","410","[c]","46830","39410"
"Leaver CS","2023","50-59","Analysis","45","[c]","49230","48570"
"Leaver CS","2023","50-59","Commercial","105","[c]","64260","56000"
"Leaver CS","2023","50-59","Communications","40","[c]","52310","40390"
"Leaver CS","2023","50-59","Counter Fraud","190","[c]","30110","28120"
"Leaver CS","2023","50-59","Debt","140","[c]","22670","21690"
"Leaver CS","2023","50-59","Digital, Data & Technology","345","[c]","48390","45110"
"Leaver CS","2023","50-59","Finance","165","[c]","46130","41650"
