"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Property","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Property","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Property","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Security","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","AA","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","AA","Unknown","30","30","22310","22180"
"In post","2023","16-19","Unknown","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19620","17650"
"In post","2023","20-29","Analysis","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","AA","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","AO","Heterosexual / straight","75","75","22760","22520"
"In post","2023","20-29","Analysis","AO","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","AO","Unknown","30","30","[c]","[c]"
"In post","2023","20-29","Analysis","EO","Heterosexual / straight","250","250","28030","28210"
"In post","2023","20-29","Analysis","EO","LGBO","35","35","26820","26870"
"In post","2023","20-29","Analysis","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","Analysis","EO","Unknown","105","105","28080","27650"
"In post","2023","20-29","Analysis","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","G7","Heterosexual / straight","325","325","56080","55500"
"In post","2023","20-29","Analysis","G7","LGBO","50","50","56370","55370"
"In post","2023","20-29","Analysis","G7","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","G7","Unknown","70","70","56040","55740"
"In post","2023","20-29","Analysis","HEO","Heterosexual / straight","1045","1040","34190","34170"
"In post","2023","20-29","Analysis","HEO","LGBO","200","195","33550","33450"
"In post","2023","20-29","Analysis","HEO","Undeclared","115","115","34340","34190"
"In post","2023","20-29","Analysis","HEO","Unknown","420","420","33370","33040"
"In post","2023","20-29","Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SEO","Heterosexual / straight","555","555","41720","41780"
"In post","2023","20-29","Analysis","SEO","LGBO","85","85","40920","39890"
"In post","2023","20-29","Analysis","SEO","Undeclared","45","40","42420","43000"
"In post","2023","20-29","Analysis","SEO","Unknown","175","175","42070","42520"
"In post","2023","20-29","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","AO","Heterosexual / straight","60","60","23420","22390"
"In post","2023","20-29","Commercial","AO","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AO","Unknown","35","35","24640","22320"
"In post","2023","20-29","Commercial","EO","Heterosexual / straight","150","150","27270","27140"
"In post","2023","20-29","Commercial","EO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","EO","Unknown","60","60","27860","27470"
"In post","2023","20-29","Commercial","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","G6","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","G7","Heterosexual / straight","55","55","58190","56000"
"In post","2023","20-29","Commercial","G7","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","G7","Unknown","40","40","61100","56320"
"In post","2023","20-29","Commercial","HEO","Heterosexual / straight","275","275","33520","33830"
"In post","2023","20-29","Commercial","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","HEO","Unknown","135","135","31800","31350"
"In post","2023","20-29","Commercial","SEO","Heterosexual / straight","160","160","40780","41830"
"In post","2023","20-29","Commercial","SEO","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","SEO","Unknown","40","40","42140","42620"
"In post","2023","20-29","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","20-29","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AO","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Communications","EO","Heterosexual / straight","105","100","28290","28200"
"In post","2023","20-29","Communications","EO","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Communications","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Communications","EO","Unknown","30","30","[c]","[c]"
"In post","2023","20-29","Communications","G7","Heterosexual / straight","30","30","55650","55540"
"In post","2023","20-29","Communications","G7","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","G7","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Communications","HEO","Heterosexual / straight","195","195","35000","34190"
"In post","2023","20-29","Communications","HEO","LGBO","35","35","34080","34120"
"In post","2023","20-29","Communications","HEO","Undeclared","35","35","34410","34190"
"In post","2023","20-29","Communications","HEO","Unknown","125","125","36260","35650"
"In post","2023","20-29","Communications","SEO","Heterosexual / straight","115","110","42570","41950"
"In post","2023","20-29","Communications","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Communications","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Communications","SEO","Unknown","55","55","43390","43580"
"In post","2023","20-29","Communications","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","Heterosexual / straight","215","210","23410","22520"
"In post","2023","20-29","Counter Fraud","AO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","Unknown","45","45","22780","22520"
"In post","2023","20-29","Counter Fraud","EO","Heterosexual / straight","775","765","29170","28120"
"In post","2023","20-29","Counter Fraud","EO","LGBO","80","80","28770","28120"
"In post","2023","20-29","Counter Fraud","EO","Undeclared","40","40","29360","28120"
"In post","2023","20-29","Counter Fraud","EO","Unknown","280","275","29150","28130"
"In post","2023","20-29","Counter Fraud","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HEO","Heterosexual / straight","265","265","35600","34700"
"In post","2023","20-29","Counter Fraud","HEO","LGBO","35","35","35540","34700"
"In post","2023","20-29","Counter Fraud","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HEO","Unknown","100","100","35990","34850"
"In post","2023","20-29","Counter Fraud","SEO","Heterosexual / straight","35","35","41590","42140"
"In post","2023","20-29","Counter Fraud","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Debt","AO","Heterosexual / straight","810","785","22570","22520"
"In post","2023","20-29","Debt","AO","LGBO","105","105","22390","22520"
"In post","2023","20-29","Debt","AO","Undeclared","50","45","22430","22520"
"In post","2023","20-29","Debt","AO","Unknown","550","530","22800","22520"
"In post","2023","20-29","Debt","EO","Heterosexual / straight","95","90","28140","28120"
"In post","2023","20-29","Debt","EO","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Debt","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Debt","EO","Unknown","60","55","27970","27890"
"In post","2023","20-29","Debt","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Debt","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Debt","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AO","Heterosexual / straight","125","125","22590","22150"
"In post","2023","20-29","Digital, Data & Technology","AO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AO","Unknown","45","45","23370","23390"
"In post","2023","20-29","Digital, Data & Technology","EO","Heterosexual / straight","615","600","27820","27650"
"In post","2023","20-29","Digital, Data & Technology","EO","LGBO","70","70","27470","27140"
"In post","2023","20-29","Digital, Data & Technology","EO","Undeclared","75","75","27850","27650"
"In post","2023","20-29","Digital, Data & Technology","EO","Unknown","305","300","28070","27890"
"In post","2023","20-29","Digital, Data & Technology","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","G7","Heterosexual / straight","225","225","54890","55020"
"In post","2023","20-29","Digital, Data & Technology","G7","LGBO","30","30","54900","55720"
"In post","2023","20-29","Digital, Data & Technology","G7","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","G7","Unknown","80","80","54770","55090"
"In post","2023","20-29","Digital, Data & Technology","HEO","Heterosexual / straight","745","740","33980","34170"
"In post","2023","20-29","Digital, Data & Technology","HEO","LGBO","120","120","33880","34150"
"In post","2023","20-29","Digital, Data & Technology","HEO","Undeclared","90","90","33290","32960"
"In post","2023","20-29","Digital, Data & Technology","HEO","Unknown","460","455","34010","34400"
"In post","2023","20-29","Digital, Data & Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SEO","Heterosexual / straight","515","515","41250","41360"
"In post","2023","20-29","Digital, Data & Technology","SEO","LGBO","60","60","40520","40880"
"In post","2023","20-29","Digital, Data & Technology","SEO","Undeclared","55","55","41030","41160"
"In post","2023","20-29","Digital, Data & Technology","SEO","Unknown","240","240","41930","41780"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AO","Heterosexual / straight","205","200","23090","22520"
"In post","2023","20-29","Finance","AO","LGBO","20","15","[c]","[c]"
"In post","2023","20-29","Finance","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Finance","AO","Unknown","125","120","23170","22520"
"In post","2023","20-29","Finance","EO","Heterosexual / straight","265","260","27930","27650"
"In post","2023","20-29","Finance","EO","LGBO","30","30","[c]","[c]"
"In post","2023","20-29","Finance","EO","Undeclared","30","30","[c]","[c]"
"In post","2023","20-29","Finance","EO","Unknown","100","100","27970","27650"
"In post","2023","20-29","Finance","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","G7","Heterosexual / straight","95","95","55080","55370"
"In post","2023","20-29","Finance","G7","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Finance","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Finance","G7","Unknown","30","30","[c]","[c]"
"In post","2023","20-29","Finance","HEO","Heterosexual / straight","320","320","34360","34170"
"In post","2023","20-29","Finance","HEO","LGBO","40","40","34100","34170"
"In post","2023","20-29","Finance","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Finance","HEO","Unknown","135","135","33800","34170"
"In post","2023","20-29","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SEO","Heterosexual / straight","165","165","41140","41200"
"In post","2023","20-29","Finance","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Finance","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Finance","SEO","Unknown","45","45","42080","42510"
"In post","2023","20-29","Finance","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","AO","Heterosexual / straight","170","160","22100","22150"
"In post","2023","20-29","Grants Management","AO","LGBO","40","40","22150","22150"
"In post","2023","20-29","Grants Management","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Grants Management","AO","Unknown","70","65","22120","22150"
"In post","2023","20-29","Grants Management","EO","Heterosexual / straight","55","55","25720","25920"
"In post","2023","20-29","Grants Management","EO","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Grants Management","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Grants Management","EO","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Grants Management","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","G7","LGBO","[c]","[c]","[c]","[c]"
