"Status","Year","Ethnicity","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Birmingham","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bristol, City of","15","10","[c]","[c]"
"In post","2023","Asian","Analysis","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Camden and City of London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Hampshire","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Coventry","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Croydon","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","Darlington","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
