"Status","Year","Function_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Angus and Dundee City","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","50","50","41570","37140"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","Outside London","Heterosexual / straight","65","65","45460","39430"
"In post","2023","Analysis","Birmingham","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Birmingham","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Birmingham","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
