"Status","Year","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","35","35","30500","24480"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","30","30","40270","35050"
"In post","2023","Declared disabled","Attorney General's Departments","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","590","545","57200","56450"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","435","400","28570","26900"
"In post","2023","Declared disabled","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","25","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","225","225","61960","58280"
"In post","2023","Declared disabled","Cabinet Office","Communications","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","185","185","46080","41870"
"In post","2023","Declared disabled","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","35","35","45760","38350"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","170","160","39820","38400"
"In post","2023","Declared disabled","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","60","55","45570","41870"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","80","80","37940","30130"
"In post","2023","Declared disabled","Cabinet Office","Property","45","45","50860","51020"
"In post","2023","Declared disabled","Cabinet Office","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","55","55","37860","34320"
"In post","2023","Declared disabled","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","440","435","38890","32960"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","15","15","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
