"Status","Year","Profession_of_post","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","Female","Heterosexual / straight","570","555","56030","53120"
"In post","2023","Commercial","London","Female","LGBO","30","30","[c]","[c]"
"In post","2023","Commercial","London","Female","Undeclared","60","60","52560","53400"
"In post","2023","Commercial","London","Female","Unknown","180","180","49020","43650"
"In post","2023","Commercial","London","Male","Heterosexual / straight","545","535","65660","57270"
"In post","2023","Commercial","London","Male","LGBO","45","45","57110","56000"
"In post","2023","Commercial","London","Male","Undeclared","75","75","60830","57640"
"In post","2023","Commercial","London","Male","Unknown","205","205","56340","55740"
"In post","2023","Commercial","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","Female","Heterosexual / straight","2435","2310","42480","38470"
"In post","2023","Commercial","Outside London","Female","LGBO","110","110","39460","37390"
"In post","2023","Commercial","Outside London","Female","Undeclared","240","220","41080","40300"
"In post","2023","Commercial","Outside London","Female","Unknown","455","435","42490","38170"
"In post","2023","Commercial","Outside London","Male","Heterosexual / straight","1810","1780","46450","41260"
"In post","2023","Commercial","Outside London","Male","LGBO","115","115","40490","37340"
"In post","2023","Commercial","Outside London","Male","Undeclared","200","195","43350","41200"
"In post","2023","Commercial","Outside London","Male","Unknown","470","465","46740","40690"
"In post","2023","Commercial","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Female","Heterosexual / straight","770","740","49610","46450"
"In post","2023","Communications","London","Female","LGBO","60","55","46050","43830"
"In post","2023","Communications","London","Female","Undeclared","80","80","47720","44270"
"In post","2023","Communications","London","Female","Unknown","290","285","47520","43690"
"In post","2023","Communications","London","Male","Heterosexual / straight","455","455","50140","45540"
"In post","2023","Communications","London","Male","LGBO","85","85","48250","44600"
"In post","2023","Communications","London","Male","Undeclared","55","55","51230","47210"
"In post","2023","Communications","London","Male","Unknown","200","200","48430","44010"
"In post","2023","Communications","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","Female","Heterosexual / straight","965","900","38870","37590"
"In post","2023","Communications","Outside London","Female","LGBO","55","50","36030","34370"
"In post","2023","Communications","Outside London","Female","Undeclared","85","80","37770","35610"
"In post","2023","Communications","Outside London","Female","Unknown","180","170","39110","37680"
"In post","2023","Communications","Outside London","Male","Heterosexual / straight","560","550","39480","37590"
"In post","2023","Communications","Outside London","Male","LGBO","50","50","38430","37300"
"In post","2023","Communications","Outside London","Male","Undeclared","85","85","37640","34330"
"In post","2023","Communications","Outside London","Male","Unknown","130","130","38370","34850"
"In post","2023","Communications","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Corporate Finance","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Corporate Finance","London","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Corporate Finance","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Corporate Finance","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","Female","Heterosexual / straight","675","625","35230","32520"
"In post","2023","Counter Fraud","London","Female","LGBO","30","30","36350","34870"
"In post","2023","Counter Fraud","London","Female","Undeclared","85","75","35020","32520"
"In post","2023","Counter Fraud","London","Female","Unknown","215","195","34820","32520"
"In post","2023","Counter Fraud","London","Male","Heterosexual / straight","615","600","39460","36560"
"In post","2023","Counter Fraud","London","Male","LGBO","40","40","35800","32520"
"In post","2023","Counter Fraud","London","Male","Undeclared","80","80","41200","39150"
"In post","2023","Counter Fraud","London","Male","Unknown","225","220","38570","34550"
"In post","2023","Counter Fraud","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","Female","Heterosexual / straight","3090","2770","29580","28120"
"In post","2023","Counter Fraud","Outside London","Female","LGBO","190","180","30150","28120"
"In post","2023","Counter Fraud","Outside London","Female","Undeclared","340","295","28640","28120"
"In post","2023","Counter Fraud","Outside London","Female","Unknown","760","660","30030","28120"
"In post","2023","Counter Fraud","Outside London","Male","Heterosexual / straight","2145","2045","31180","28120"
"In post","2023","Counter Fraud","Outside London","Male","LGBO","150","145","30700","28120"
"In post","2023","Counter Fraud","Outside London","Male","Undeclared","310","290","30820","28120"
"In post","2023","Counter Fraud","Outside London","Male","Unknown","635","595","31780","28130"
"In post","2023","Counter Fraud","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
