"Status","Year","Age","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AA/AO","15","10","23330","22150"
"In post","2023","16-19","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","EO","10","10","25400","24610"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","AA/AO","50","50","20950","20980"
"In post","2023","16-19","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","AA/AO","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","AA/AO","105","105","19110","18780"
"In post","2023","16-19","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","AA/AO","30","30","21740","23340"
"In post","2023","16-19","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","10","10","27390","28510"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","60","60","21950","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","15","15","28120","28120"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AA/AO","80","70","20610","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Unknown","25","25","23470","22750"
"In post","2023","16-19","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA/AO","25","25","22110","21780"
"In post","2023","16-19","HM Land Registry","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","AA/AO","270","270","26710","28880"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","35","30","20180","19090"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","160","155","22740","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","15","15","28390","27650"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","105","95","23080","22400"
"In post","2023","16-19","Home Office","EO","30","30","26960","25750"
"In post","2023","16-19","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AA/AO","35","35","22150","22220"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","AA/AO","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
