"Status","Year","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","125","115","34020","31940"
"In post","2023","Active Travel England","London","10","10","[c]","[c]"
"In post","2023","Active Travel England","Outside London","45","40","51760","50240"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","175","170","43730","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","835","765","32600","32110"
"In post","2023","Animal and Plant Health Agency","London","90","85","37770","33030"
"In post","2023","Animal and Plant Health Agency","Outside London","3005","2860","31130","27210"
"In post","2023","Attorney General's Office","London","50","50","50950","43000"
"In post","2023","Building Digital UK","London","140","140","48800","53010"
"In post","2023","Building Digital UK","Outside London","90","90","42460","37130"
"In post","2023","Cabinet Office (excl. agencies)","London","3565","3495","53850","56430"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","2185","2090","38620","34320"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","165","160","42460","36460"
"In post","2023","Central Civil Service Fast Stream","London","1190","1185","30770","30130"
"In post","2023","Central Civil Service Fast Stream","Outside London","465","465","30610","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","655","625","35860","30820"
"In post","2023","Charity Commission","London","80","80","45710","41370"
"In post","2023","Charity Commission","Outside London","420","400","33910","30170"
"In post","2023","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Outside London","1210","1125","32460","28070"
"In post","2023","Competition and Markets Authority","London","795","770","62880","58330"
"In post","2023","Competition and Markets Authority","Outside London","115","115","57800","55950"
"In post","2023","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","335","310","28020","25830"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","65","65","57030","57000"
"In post","2023","Crown Commercial Service","Outside London","700","680","40190","40450"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","2450","2310","39960","33120"
"In post","2023","Crown Prosecution Service","London","1870","1775","45320","40540"
"In post","2023","Crown Prosecution Service","Outside London","5645","5265","40760","35300"
"In post","2023","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Outside London","445","430","29980","28710"
"In post","2023","Defence Equipment and Support","London","180","175","30130","26880"
"In post","2023","Defence Equipment and Support","Outside London","10495","10105","39430","38790"
"In post","2023","Defence Equipment and Support","Overseas","45","45","57610","58060"
"In post","2023","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Outside London","4955","4775","42550","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","4970","4865","52150","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","1315","1290","43460","37750"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","1500","1470","50310","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","210","205","42260","35880"
"In post","2023","Department for Education (excl. agencies)","London","2130","2045","52300","55020"
"In post","2023","Department for Education (excl. agencies)","Outside London","5030","4855","43100","38070"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","2555","2485","46450","40620"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","3780","3630","41840","37710"
