"Status","Year","Age","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","London","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Outside London","AA/AO","45","45","20950","20270"
"In post","2023","16-19","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","10","10","19730","19920"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","25","25","22030","22150"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","London","EO","[c]","[c]","[c]","[c]"
