"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","10","10","44600","45350"
"In post","2023","Analysis","Cabinet Office","135","135","33750","30180"
"In post","2023","Analysis","Chancellor's other departments","215","200","69050","65950"
"In post","2023","Analysis","Charity Commission","15","15","32630","30170"
"In post","2023","Analysis","Competition and Markets Authority","145","135","63160","58050"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","325","315","42620","37460"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","145","145","50010","53030"
"In post","2023","Analysis","Department for Education","605","575","46470","43860"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","545","520","35470","30820"
"In post","2023","Analysis","Department for International Trade","255","255","48780","55370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","270","265","47860","49700"
"In post","2023","Analysis","Department for Transport","415","400","47590","44570"
"In post","2023","Analysis","Department for Work and Pensions","685","645","45330","39150"
"In post","2023","Analysis","Department of Health and Social Care","245","235","45700","41950"
"In post","2023","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","50","50","38950","38100"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","50","50","51210","53500"
"In post","2023","Analysis","HM Land Registry","30","30","47030","39520"
"In post","2023","Analysis","HM Revenue and Customs","835","805","48900","45170"
"In post","2023","Analysis","HM Treasury","230","225","46410","41650"
"In post","2023","Analysis","Home Office","575","560","45570","43210"
"In post","2023","Analysis","Ministry of Defence","1370","1330","44040","41200"
"In post","2023","Analysis","Ministry of Justice","765","740","46470","43650"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","170","165","42690","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","165","165","47570","43650"
"In post","2023","Analysis","Office of Rail and Road","60","60","54740","53410"
"In post","2023","Analysis","Scottish Government","20","20","40080","38170"
"In post","2023","Analysis","UK Export Finance","20","20","53170","51570"
"In post","2023","Analysis","UK Statistics Authority","1925","1840","39540","37760"
"In post","2023","Analysis","Water Services Regulation Authority","50","50","60270","51830"
"In post","2023","Analysis","Welsh Government","5","5","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","45","45","40760","38940"
"In post","2023","Commercial","Cabinet Office","2130","2095","64360","65500"
"In post","2023","Commercial","Chancellor's other departments","20","20","49670","50000"
"In post","2023","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","230","220","43610","44700"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","45","45","45050","37830"
"In post","2023","Commercial","Department for Education","290","285","43690","39350"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","245","230","37010","37300"
"In post","2023","Commercial","Department for International Trade","40","40","39250","36030"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities","45","45","43890","41820"
"In post","2023","Commercial","Department for Transport","395","375","40720","36410"
"In post","2023","Commercial","Department for Work and Pensions","90","90","37010","34170"
"In post","2023","Commercial","Department of Health and Social Care","250","245","46060","41280"
"In post","2023","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","15","15","36960","37720"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","170","165","44010","40750"
"In post","2023","Commercial","HM Land Registry","20","20","45870","39520"
"In post","2023","Commercial","HM Revenue and Customs","150","140","39610","41780"
