"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","Heterosexual / straight","160","150","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","Undeclared","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","Unknown","75","70","25420","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Heterosexual / straight","365","330","35600","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","LGBO","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Undeclared","55","50","35580","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Unknown","45","45","33470","32110"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","AA/AO","Heterosexual / straight","655","610","22920","22150"
"In post","2023","Animal and Plant Health Agency","Outside London","AA/AO","LGBO","75","75","23090","22150"
"In post","2023","Animal and Plant Health Agency","Outside London","AA/AO","Undeclared","80","75","22990","22150"
"In post","2023","Animal and Plant Health Agency","Outside London","AA/AO","Unknown","130","120","22970","22150"
"In post","2023","Animal and Plant Health Agency","Outside London","EO","Heterosexual / straight","590","570","27040","25920"
"In post","2023","Animal and Plant Health Agency","Outside London","EO","LGBO","60","60","27040","25920"
"In post","2023","Animal and Plant Health Agency","Outside London","EO","Undeclared","85","80","27100","26090"
"In post","2023","Animal and Plant Health Agency","Outside London","EO","Unknown","55","50","27050","26850"
"In post","2023","Animal and Plant Health Agency","Outside London","G6/G7","Heterosexual / straight","190","185","54440","54330"
"In post","2023","Animal and Plant Health Agency","Outside London","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","G6/G7","Undeclared","40","40","56110","54670"
"In post","2023","Animal and Plant Health Agency","Outside London","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","SEO/HEO","Heterosexual / straight","740","710","35350","34590"
"In post","2023","Animal and Plant Health Agency","Outside London","SEO/HEO","LGBO","40","40","34410","33830"
"In post","2023","Animal and Plant Health Agency","Outside London","SEO/HEO","Undeclared","130","125","36770","37300"
"In post","2023","Animal and Plant Health Agency","Outside London","SEO/HEO","Unknown","80","70","37080","37300"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
