"Status","Year","Age","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
