"Status","Year","Age","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","AA/AO","Heterosexual / straight","35","35","24170","24400"
"In post","2023","16-19","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AA/AO","Unknown","35","30","27460","26400"
"In post","2023","16-19","London","EO","Heterosexual / straight","30","30","28640","28750"
"In post","2023","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","EO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","AA/AO","Heterosexual / straight","535","525","22900","22520"
"In post","2023","16-19","Outside London","AA/AO","LGBO","65","65","23240","22520"
"In post","2023","16-19","Outside London","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2023","16-19","Outside London","AA/AO","Unknown","460","440","22550","22400"
"In post","2023","16-19","Outside London","EO","Heterosexual / straight","60","60","26270","26000"
"In post","2023","16-19","Outside London","EO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Outside London","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Outside London","EO","Unknown","40","40","26150","25750"
"In post","2023","16-19","Outside London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","Unknown","Heterosexual / straight","40","35","20940","19090"
"In post","2023","16-19","Outside London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","Unknown","Unknown","30","25","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","20-29","London","AA/AO","Heterosexual / straight","1225","1205","27870","26400"
"In post","2023","20-29","London","AA/AO","LGBO","125","125","28570","26630"
"In post","2023","20-29","London","AA/AO","Undeclared","90","85","27810","25600"
"In post","2023","20-29","London","AA/AO","Unknown","905","895","28200","26400"
"In post","2023","20-29","London","EO","Heterosexual / straight","2770","2745","30790","30030"
"In post","2023","20-29","London","EO","LGBO","280","280","29910","29660"
"In post","2023","20-29","London","EO","Undeclared","315","310","30110","29280"
"In post","2023","20-29","London","EO","Unknown","1265","1255","30330","29890"
"In post","2023","20-29","London","G6/G7","Heterosexual / straight","2250","2245","56990","55370"
"In post","2023","20-29","London","G6/G7","LGBO","430","425","57290","55510"
"In post","2023","20-29","London","G6/G7","Undeclared","305","305","56780","55120"
"In post","2023","20-29","London","G6/G7","Unknown","790","790","57980","56340"
"In post","2023","20-29","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","SEO/HEO","Heterosexual / straight","6210","6195","38360","38020"
"In post","2023","20-29","London","SEO/HEO","LGBO","1015","1010","38020","37230"
"In post","2023","20-29","London","SEO/HEO","Undeclared","785","785","37980","37560"
"In post","2023","20-29","London","SEO/HEO","Unknown","3415","3405","36900","36180"
"In post","2023","20-29","London","Unknown","Heterosexual / straight","325","320","30170","28580"
"In post","2023","20-29","London","Unknown","LGBO","35","35","29700","28580"
"In post","2023","20-29","London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","London","Unknown","Unknown","130","125","27770","27640"
"In post","2023","20-29","Outside London","AA/AO","Heterosexual / straight","13975","13605","24620","22520"
"In post","2023","20-29","Outside London","AA/AO","LGBO","1970","1935","24310","22520"
"In post","2023","20-29","Outside London","AA/AO","Undeclared","965","935","23910","22520"
"In post","2023","20-29","Outside London","AA/AO","Unknown","8050","7820","23920","22520"
"In post","2023","20-29","Outside London","EO","Heterosexual / straight","9775","9640","28070","28120"
"In post","2023","20-29","Outside London","EO","LGBO","1255","1245","27920","28120"
"In post","2023","20-29","Outside London","EO","Undeclared","675","665","27990","27890"
"In post","2023","20-29","Outside London","EO","Unknown","4665","4610","27620","27650"
"In post","2023","20-29","Outside London","G6/G7","Heterosexual / straight","1040","1035","53290","52360"
"In post","2023","20-29","Outside London","G6/G7","LGBO","145","145","53390","52360"
"In post","2023","20-29","Outside London","G6/G7","Undeclared","85","85","53610","52250"
"In post","2023","20-29","Outside London","G6/G7","Unknown","265","265","54750","53040"
"In post","2023","20-29","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","SEO/HEO","Heterosexual / straight","9000","8945","35110","34370"
"In post","2023","20-29","Outside London","SEO/HEO","LGBO","1245","1240","34980","34260"
"In post","2023","20-29","Outside London","SEO/HEO","Undeclared","750","745","34810","34170"
"In post","2023","20-29","Outside London","SEO/HEO","Unknown","3220","3210","34760","34400"
"In post","2023","20-29","Outside London","Unknown","Heterosexual / straight","3040","2985","26250","24570"
"In post","2023","20-29","Outside London","Unknown","LGBO","415","410","24760","23640"
"In post","2023","20-29","Outside London","Unknown","Undeclared","140","135","26260","24570"
"In post","2023","20-29","Outside London","Unknown","Unknown","875","845","24350","23640"
"In post","2023","20-29","Overseas","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","EO","Unknown","5","5","[c]","[c]"
