"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","London","AO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","London","EO","Heterosexual / straight","70","70","31060","31190"
"In post","2023","Commercial","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","London","EO","Unknown","30","30","[c]","[c]"
"In post","2023","Commercial","London","G6","Heterosexual / straight","190","185","76010","72500"
"In post","2023","Commercial","London","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","London","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","London","G6","Unknown","55","55","75700","72500"
"In post","2023","Commercial","London","G7","Heterosexual / straight","305","300","61500","58300"
"In post","2023","Commercial","London","G7","LGBO","30","30","61380","57640"
"In post","2023","Commercial","London","G7","Undeclared","40","40","59360","58280"
"In post","2023","Commercial","London","G7","Unknown","110","110","60750","57250"
"In post","2023","Commercial","London","HEO","Heterosexual / straight","170","165","36460","35760"
"In post","2023","Commercial","London","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","London","HEO","Unknown","95","95","32880","31990"
"In post","2023","Commercial","London","SCS level","Heterosexual / straight","130","125","119540","116600"
"In post","2023","Commercial","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","London","SEO","Heterosexual / straight","220","215","45030","43760"
"In post","2023","Commercial","London","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","London","SEO","Undeclared","30","30","44920","43650"
"In post","2023","Commercial","London","SEO","Unknown","60","60","44360","43750"
"In post","2023","Commercial","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Commercial","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Outside London","AO","Heterosexual / straight","200","185","23250","22360"
"In post","2023","Commercial","Outside London","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Outside London","AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","Outside London","AO","Unknown","90","85","24220","22270"
"In post","2023","Commercial","Outside London","EO","Heterosexual / straight","445","420","27350","27140"
"In post","2023","Commercial","Outside London","EO","LGBO","40","40","27100","27460"
"In post","2023","Commercial","Outside London","EO","Undeclared","50","45","27750","27450"
"In post","2023","Commercial","Outside London","EO","Unknown","105","105","27790","27080"
"In post","2023","Commercial","Outside London","G6","Heterosexual / straight","330","325","73590","71050"
"In post","2023","Commercial","Outside London","G6","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Outside London","G6","Undeclared","30","25","[c]","[c]"
"In post","2023","Commercial","Outside London","G6","Unknown","60","60","74770","72430"
"In post","2023","Commercial","Outside London","G7","Heterosexual / straight","735","715","57960","56000"
"In post","2023","Commercial","Outside London","G7","LGBO","35","35","58560","56000"
"In post","2023","Commercial","Outside London","G7","Undeclared","80","75","55660","55960"
"In post","2023","Commercial","Outside London","G7","Unknown","215","210","60010","56000"
"In post","2023","Commercial","Outside London","HEO","Heterosexual / straight","985","945","33420","33980"
"In post","2023","Commercial","Outside London","HEO","LGBO","55","55","33490","33200"
"In post","2023","Commercial","Outside London","HEO","Undeclared","95","90","34030","34170"
"In post","2023","Commercial","Outside London","HEO","Unknown","180","175","33090","33290"
"In post","2023","Commercial","Outside London","SCS level","Heterosexual / straight","100","95","105330","99310"
"In post","2023","Commercial","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","Outside London","SEO","Heterosexual / straight","1295","1250","41600","41260"
"In post","2023","Commercial","Outside London","SEO","LGBO","65","65","41780","40820"
"In post","2023","Commercial","Outside London","SEO","Undeclared","140","135","42600","42620"
"In post","2023","Commercial","Outside London","SEO","Unknown","210","205","41240","40620"
"In post","2023","Commercial","Outside London","Unknown","Heterosexual / straight","150","145","43110","42620"
"In post","2023","Commercial","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Outside London","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Communications","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Communications","London","EO","Heterosexual / straight","100","100","30080","29660"
"In post","2023","Communications","London","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Communications","London","EO","Unknown","35","30","30360","29660"
"In post","2023","Communications","London","G6","Heterosexual / straight","120","115","70780","70700"
"In post","2023","Communications","London","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Communications","London","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Communications","London","G6","Unknown","40","40","69950","69800"
"In post","2023","Communications","London","G7","Heterosexual / straight","320","310","57970","57240"
"In post","2023","Communications","London","G7","LGBO","35","35","57660","56430"
"In post","2023","Communications","London","G7","Undeclared","30","30","57960","56440"
"In post","2023","Communications","London","G7","Unknown","105","100","56990","56330"
"In post","2023","Communications","London","HEO","Heterosexual / straight","265","260","37150","36590"
"In post","2023","Communications","London","HEO","LGBO","30","30","36300","35410"
"In post","2023","Communications","London","HEO","Undeclared","30","30","[c]","[c]"
"In post","2023","Communications","London","HEO","Unknown","155","150","37560","37090"
"In post","2023","Communications","London","SCS level","Heterosexual / straight","60","60","91280","86700"
"In post","2023","Communications","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Communications","London","SEO","Heterosexual / straight","330","325","44550","44000"
"In post","2023","Communications","London","SEO","LGBO","50","50","44550","43990"
"In post","2023","Communications","London","SEO","Undeclared","40","40","44650","44540"
"In post","2023","Communications","London","SEO","Unknown","130","130","44470","44260"
"In post","2023","Communications","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AO","Heterosexual / straight","100","95","22770","22330"
"In post","2023","Communications","Outside London","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Communications","Outside London","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","Outside London","AO","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","Outside London","EO","Heterosexual / straight","255","240","27900","27470"
"In post","2023","Communications","Outside London","EO","LGBO","20","15","[c]","[c]"
"In post","2023","Communications","Outside London","EO","Undeclared","40","35","27660","27450"
"In post","2023","Communications","Outside London","EO","Unknown","45","40","27780","27140"
"In post","2023","Communications","Outside London","G6","Heterosexual / straight","70","65","66670","67650"
"In post","2023","Communications","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","Outside London","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","Outside London","G7","Heterosexual / straight","210","200","54230","53770"
"In post","2023","Communications","Outside London","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","Outside London","G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","Outside London","G7","Unknown","45","45","53550","53620"
"In post","2023","Communications","Outside London","HEO","Heterosexual / straight","430","405","34060","33990"
"In post","2023","Communications","Outside London","HEO","LGBO","35","35","33100","32800"
"In post","2023","Communications","Outside London","HEO","Undeclared","45","40","34570","33860"
"In post","2023","Communications","Outside London","HEO","Unknown","105","100","33090","32260"
"In post","2023","Communications","Outside London","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Communications","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","SEO","Heterosexual / straight","435","415","41370","41200"
"In post","2023","Communications","Outside London","SEO","LGBO","30","30","42000","42100"
"In post","2023","Communications","Outside London","SEO","Undeclared","40","40","42570","41730"
"In post","2023","Communications","Outside London","SEO","Unknown","90","85","41310","41240"
"In post","2023","Communications","Outside London","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","HEO","Unknown","10","5","[c]","[c]"
"In post","2023","Corporate Finance","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AO","Heterosexual / straight","215","195","25370","25610"
"In post","2023","Counter Fraud","London","AO","LGBO","10","5","[c]","[c]"
"In post","2023","Counter Fraud","London","AO","Undeclared","35","30","25130","25610"
"In post","2023","Counter Fraud","London","AO","Unknown","70","60","25380","25610"
"In post","2023","Counter Fraud","London","EO","Heterosexual / straight","530","505","32170","32520"
"In post","2023","Counter Fraud","London","EO","LGBO","30","30","31860","32520"
"In post","2023","Counter Fraud","London","EO","Undeclared","55","50","32460","32520"
"In post","2023","Counter Fraud","London","EO","Unknown","180","170","32330","32520"
"In post","2023","Counter Fraud","London","G6","Heterosexual / straight","40","40","73770","72920"
"In post","2023","Counter Fraud","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Counter Fraud","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","G7","Heterosexual / straight","70","65","61270","61640"
"In post","2023","Counter Fraud","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","G7","Unknown","25","25","[c]","[c]"
"In post","2023","Counter Fraud","London","HEO","Heterosexual / straight","275","265","38970","39220"
"In post","2023","Counter Fraud","London","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Counter Fraud","London","HEO","Undeclared","40","40","39160","39220"
"In post","2023","Counter Fraud","London","HEO","Unknown","120","115","39550","39450"
"In post","2023","Counter Fraud","London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","SEO","Heterosexual / straight","145","140","44580","45560"
"In post","2023","Counter Fraud","London","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Counter Fraud","London","SEO","Unknown","40","40","44920","45560"
"In post","2023","Counter Fraud","Outside London","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","AA","Unknown","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","AO","Heterosexual / straight","860","750","22610","21690"
"In post","2023","Counter Fraud","Outside London","AO","LGBO","60","55","22840","21690"
"In post","2023","Counter Fraud","Outside London","AO","Undeclared","150","125","22410","21690"
"In post","2023","Counter Fraud","Outside London","AO","Unknown","200","165","22470","21690"
"In post","2023","Counter Fraud","Outside London","EO","Heterosexual / straight","2845","2610","28370","28120"
"In post","2023","Counter Fraud","Outside London","EO","LGBO","170","165","28410","28120"
"In post","2023","Counter Fraud","Outside London","EO","Undeclared","330","295","28310","28120"
"In post","2023","Counter Fraud","Outside London","EO","Unknown","765","685","28400","28120"
"In post","2023","Counter Fraud","Outside London","G6","Heterosexual / straight","35","30","70020","71300"
"In post","2023","Counter Fraud","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","G7","Heterosexual / straight","90","90","55600","56870"
"In post","2023","Counter Fraud","Outside London","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","G7","Unknown","20","20","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","HEO","Heterosexual / straight","1110","1055","34760","34170"
"In post","2023","Counter Fraud","Outside London","HEO","LGBO","80","75","35010","34170"
"In post","2023","Counter Fraud","Outside London","HEO","Undeclared","120","115","34960","34400"
"In post","2023","Counter Fraud","Outside London","HEO","Unknown","295","280","35270","34700"
"In post","2023","Counter Fraud","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SEO","Heterosexual / straight","285","275","41130","41880"
"In post","2023","Counter Fraud","Outside London","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SEO","Undeclared","30","30","42430","42510"
"In post","2023","Counter Fraud","Outside London","SEO","Unknown","95","90","42150","42140"
