"Status","Year","Age","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","HM Revenue and Customs","15","10","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
