"Status","Year","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","9555","8935","34280","30330"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","675","650","32400","28130"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","1130","1035","33950","30260"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","2990","2770","30690","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","4345","4000","30130","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","270","255","29210","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","550","505","30550","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","1035","930","27970","27400"
"In post","2023","East Midlands (England)","Lincolnshire","Heterosexual / straight","2320","2180","30870","28120"
"In post","2023","East Midlands (England)","Lincolnshire","LGBO","110","105","30320","28120"
"In post","2023","East Midlands (England)","Lincolnshire","Undeclared","280","265","31840","28120"
"In post","2023","East Midlands (England)","Lincolnshire","Unknown","370","345","29190","28120"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","3420","3215","35220","31280"
"In post","2023","East of England","Bedfordshire and Hertfordshire","LGBO","190","185","34370","31280"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Undeclared","435","400","35280","31680"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Unknown","730","665","33600","30810"
"In post","2023","East of England","East Anglia","Heterosexual / straight","9310","8675","32510","28880"
"In post","2023","East of England","East Anglia","LGBO","460","440","30470","28120"
"In post","2023","East of England","East Anglia","Undeclared","1195","1100","32820","30350"
"In post","2023","East of England","East Anglia","Unknown","2110","1930","31020","28120"
"In post","2023","East of England","Essex","Heterosexual / straight","3180","2940","32190","31280"
"In post","2023","East of England","Essex","LGBO","185","180","32240","31280"
"In post","2023","East of England","Essex","Undeclared","385","345","31280","28680"
"In post","2023","East of England","Essex","Unknown","800","730","29940","27500"
"In post","2023","London","Inner London - East","Heterosexual / straight","12170","11665","44970","39790"
"In post","2023","London","Inner London - East","LGBO","905","885","46820","41230"
"In post","2023","London","Inner London - East","Undeclared","1575","1500","45610","40170"
"In post","2023","London","Inner London - East","Unknown","4090","3885","41450","35890"
"In post","2023","London","Inner London - West","Heterosexual / straight","38795","37660","50300","46410"
"In post","2023","London","Inner London - West","LGBO","3910","3855","49670","45540"
"In post","2023","London","Inner London - West","Undeclared","5055","4910","49410","45960"
"In post","2023","London","Inner London - West","Unknown","11425","11145","47540","43000"
"In post","2023","London","Outer London - East and North East","Heterosexual / straight","2775","2595","33570","32520"
"In post","2023","London","Outer London - East and North East","LGBO","145","140","32920","32520"
"In post","2023","London","Outer London - East and North East","Undeclared","365","330","31640","31450"
"In post","2023","London","Outer London - East and North East","Unknown","960","865","31290","32110"
"In post","2023","London","Outer London - South","Heterosexual / straight","8180","7750","40870","36180"
"In post","2023","London","Outer London - South","LGBO","380","375","42390","37240"
"In post","2023","London","Outer London - South","Undeclared","1110","1040","40950","36180"
"In post","2023","London","Outer London - South","Unknown","2675","2575","37650","32540"
"In post","2023","London","Outer London - West and North West","Heterosexual / straight","5975","5570","35140","32520"
"In post","2023","London","Outer London - West and North West","LGBO","290","280","35690","32520"
"In post","2023","London","Outer London - West and North West","Undeclared","950","855","36100","32520"
"In post","2023","London","Outer London - West and North West","Unknown","2010","1905","35060","30830"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","Heterosexual / straight","15900","14530","32460","28120"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","LGBO","1030","995","31810","28120"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","Undeclared","1525","1375","31830","28120"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","Unknown","5180","4615","29600","26500"
"In post","2023","North East (England)","Tees Valley and Durham","Heterosexual / straight","7525","6905","31420","28120"
"In post","2023","North East (England)","Tees Valley and Durham","LGBO","480","465","31300","28880"
"In post","2023","North East (England)","Tees Valley and Durham","Undeclared","750","675","31160","28120"
"In post","2023","North East (England)","Tees Valley and Durham","Unknown","1860","1695","28530","28080"
"In post","2023","North West (England)","Cheshire","Heterosexual / straight","3270","3085","34700","32540"
"In post","2023","North West (England)","Cheshire","LGBO","245","240","34260","32010"
"In post","2023","North West (England)","Cheshire","Undeclared","350","325","33980","32060"
"In post","2023","North West (England)","Cheshire","Unknown","635","580","31890","28880"
"In post","2023","North West (England)","Cumbria","Heterosexual / straight","1720","1580","30560","26500"
"In post","2023","North West (England)","Cumbria","LGBO","120","115","29320","25920"
"In post","2023","North West (England)","Cumbria","Undeclared","210","190","30270","25920"
"In post","2023","North West (England)","Cumbria","Unknown","425","380","28750","25920"
"In post","2023","North West (England)","Greater Manchester","Heterosexual / straight","14540","13770","34910","30910"
