"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","SEO/HEO","15","15","37860","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","10","10","37680","37500"
"In post","2023","Analysis","Central Civil Service Fast Stream","SEO/HEO","115","110","31120","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","20","20","21710","22150"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","105","100","26000","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","100","95","53280","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","275","260","33760","30820"
"In post","2023","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","10","10","31600","30170"
"In post","2023","Analysis","Companies House","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","90","85","65870","61690"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","15","15","110580","101830"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","35","35","38000","34620"
"In post","2023","Analysis","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","AA/AO","30","30","23320","23340"
"In post","2023","Analysis","Defence Science and Technology Laboratory","EO","25","25","25690","26310"
"In post","2023","Analysis","Defence Science and Technology Laboratory","G6/G7","535","510","54420","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","SEO/HEO","455","445","35320","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","45","45","28210","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","40","40","63970","59730"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","110","110","37370","35700"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","70","70","58420","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","50","50","39720","39620"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","30","30","29590","29530"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6/G7","190","180","57120","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","10","10","83070","76510"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO/HEO","340","325","41120","43250"
"In post","2023","Analysis","Department for International Trade","EO","30","30","29180","29280"
"In post","2023","Analysis","Department for International Trade","G6/G7","125","120","59270","56100"
"In post","2023","Analysis","Department for International Trade","SCS level","10","10","81070","79690"
"In post","2023","Analysis","Department for International Trade","SEO/HEO","95","95","37670","35010"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","20","20","28990","28850"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","125","125","58330","54910"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","95","95","36090","34310"
"In post","2023","Analysis","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","25","25","30860","30920"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6/G7","185","180","59480","56340"
"In post","2023","Analysis","Department for Transport (excl. agencies)","SCS level","10","10","78740","78980"
"In post","2023","Analysis","Department for Transport (excl. agencies)","SEO/HEO","135","135","38460","38830"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","EO","50","45","29230","28210"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","G6/G7","205","190","60330","58370"
