"Status","Year","Region_ITL3","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Female","275","240","24900","24490"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Male","245","235","31220","28490"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","Female","340","305","30400","29100"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","Male","295","285","32120","31290"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Female","75","75","63560","62170"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Male","85","80","69810","65280"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Female","270","250","42910","38330"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Male","325","310","51510","42590"
"In post","2023","Angus and Dundee City","Outside London","AA/AO","Female","680","605","22790","22180"
"In post","2023","Angus and Dundee City","Outside London","AA/AO","Male","465","450","22820","22180"
"In post","2023","Angus and Dundee City","Outside London","EO","Female","545","505","29130","29100"
"In post","2023","Angus and Dundee City","Outside London","EO","Male","330","325","29240","29100"
"In post","2023","Angus and Dundee City","Outside London","G6/G7","Female","70","65","63320","65280"
"In post","2023","Angus and Dundee City","Outside London","G6/G7","Male","50","50","64890","65280"
"In post","2023","Angus and Dundee City","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SEO/HEO","Female","250","240","37540","35020"
"In post","2023","Angus and Dundee City","Outside London","SEO/HEO","Male","140","135","37760","34730"
"In post","2023","Antrim and Newtownabbey","Outside London","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AA/AO","Male","105","105","21820","22130"
