"Status","Year","Age","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Outside London","Female","35","35","21250","20980"
"In post","2023","16-19","Attorney General's Departments","Outside London","Male","10","10","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Male","10","10","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Outside London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Education","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Outside London","Female","15","15","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Outside London","Male","20","20","[c]","[c]"
"In post","2023","16-19","Department for International Trade","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","London","Male","[c]","[c]","[c]","[c]"
