"Status","Year","Region_ITL1","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","AA","400","365","22210","23230"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","AO","3780","3445","24570","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","EO","3665","3390","28260","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","G6","340","325","70900","69940"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","G7","1110","1065","56520","56870"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","HEO","2535","2420","34480","34700"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","SCS level","80","75","91400","87330"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","SEO","1550","1485","42850","42140"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Unknown","900","825","29740","29050"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","AA","320","295","21630","21250"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","AO","2285","2035","24480","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","EO","1715","1580","28490","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","G6","55","55","73720","72070"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","G7","210","200","55400","53410"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","HEO","610","580","35010","34170"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","SCS level","15","15","83480","78490"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","SEO","340","325","44160","41670"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","650","610","30130","29050"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","AA","300","285","21840","21380"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","AO","990","920","25540","22330"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","EO","730","680","28770","28120"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","G6","40","40","73640","70610"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","G7","100","95","56550","54780"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","HEO","400","385","34720","34170"
