"Status","Year","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Outside London","AA","1020","945","21920","23230"
"In post","2023","East Midlands (England)","Outside London","AO","7055","6400","24680","22520"
"In post","2023","East Midlands (England)","Outside London","EO","6115","5650","28380","28120"
"In post","2023","East Midlands (England)","Outside London","G6","435","420","71530","70610"
"In post","2023","East Midlands (England)","Outside London","G7","1415","1355","56350","56190"
"In post","2023","East Midlands (England)","Outside London","HEO","3545","3385","34600","34700"
"In post","2023","East Midlands (England)","Outside London","SCS level","95","90","90290","83870"
"In post","2023","East Midlands (England)","Outside London","SEO","2140","2055","43180","42140"
"In post","2023","East Midlands (England)","Outside London","Unknown","1810","1675","29880","29050"
"In post","2023","East of England","Outside London","AA","1340","1220","22020","23230"
"In post","2023","East of England","Outside London","AO","5935","5445","26370","25340"
"In post","2023","East of England","Outside London","EO","6395","5870","29350","28120"
"In post","2023","East of England","Outside London","G6","395","375","70800","68560"
"In post","2023","East of England","Outside London","G7","1165","1110","57050","55170"
"In post","2023","East of England","Outside London","HEO","3090","2950","34960","34300"
"In post","2023","East of England","Outside London","SCS level","120","115","98240","96060"
"In post","2023","East of England","Outside London","SEO","2015","1930","43290","41800"
"In post","2023","East of England","Outside London","Unknown","1940","1785","29490","26840"
"In post","2023","London","London","AA","1545","1435","24660","23500"
"In post","2023","London","London","AO","10255","9505","27850","26400"
"In post","2023","London","London","EO","19805","18745","31450","31310"
"In post","2023","London","London","G6","9365","9005","71220","69920"
"In post","2023","London","London","G7","20605","20020","58290","56480"
"In post","2023","London","London","HEO","19480","19050","36850","36180"
"In post","2023","London","London","SCS level","4415","4260","92640","83520"
"In post","2023","London","London","SEO","15800","15440","44400","43650"
"In post","2023","London","London","Unknown","2460","2335","35250","33050"
"In post","2023","North East (England)","Outside London","AA","990","820","22280","22520"
"In post","2023","North East (England)","Outside London","AO","11975","10405","23320","22520"
"In post","2023","North East (England)","Outside London","EO","8470","7745","28080","28120"
"In post","2023","North East (England)","Outside London","G6","730","715","68950","68610"
"In post","2023","North East (England)","Outside London","G7","2375","2305","54940","55290"
"In post","2023","North East (England)","Outside London","HEO","4915","4690","34070","34400"
"In post","2023","North East (England)","Outside London","SCS level","155","150","90520","80300"
"In post","2023","North East (England)","Outside London","SEO","3335","3200","41460","41780"
"In post","2023","North East (England)","Outside London","Unknown","1315","1235","29950","29050"
"In post","2023","North West (England)","Outside London","AA","1595","1415","21750","21380"
"In post","2023","North West (England)","Outside London","AO","19265","17330","23320","22400"
"In post","2023","North West (England)","Outside London","EO","18965","17555","28000","28120"
"In post","2023","North West (England)","Outside London","G6","1495","1450","69730","69060"
"In post","2023","North West (England)","Outside London","G7","4890","4725","55400","55230"
"In post","2023","North West (England)","Outside London","HEO","10050","9635","34150","34170"
"In post","2023","North West (England)","Outside London","SCS level","325","320","90920","83000"
"In post","2023","North West (England)","Outside London","SEO","6710","6475","41620","41480"
"In post","2023","North West (England)","Outside London","Unknown","3815","3610","30360","26840"
"In post","2023","Northern Ireland","Outside London","AA","460","445","21640","22130"
"In post","2023","Northern Ireland","Outside London","AO","1265","1155","22610","22520"
"In post","2023","Northern Ireland","Outside London","EO","1170","1120","28040","27890"
"In post","2023","Northern Ireland","Outside London","G6","75","70","71950","71300"
