"Status","Year","Ethnicity","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Inner London - West","London","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outer London - West and North West","London","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","45","45","32270","29200"
"In post","2023","Asian","Animal and Plant Health Agency","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Greater Manchester","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Inner London - West","London","20","20","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Greater Manchester","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Inner London - East","London","145","140","52670","56430"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Inner London - West","London","195","195","44580","41870"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North Yorkshire","Outside London","15","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Northumberland, and Tyne and Wear","Outside London","10","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
