"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","135","120","25800","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","205","190","29720","30930"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","Heterosexual / straight","65","60","36510","37520"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","Heterosexual / straight","50","45","43810","42220"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","40","40","30220","29050"
