"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Angus and Dundee City","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","15","15","28710","28610"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","15","15","60190","58640"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","40","35","38810","36990"
"In post","2023","Analysis","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","EO","10","10","27200","26830"
"In post","2023","Analysis","Birmingham","G6/G7","20","20","72560","70650"
"In post","2023","Analysis","Birmingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","SEO/HEO","65","60","38300","37680"
"In post","2023","Analysis","Blackburn with Darwen","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","EO","35","30","27570","27140"
"In post","2023","Analysis","Bristol, City of","G6/G7","55","50","59370","59260"
"In post","2023","Analysis","Bristol, City of","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","SEO/HEO","130","125","37800","39820"
"In post","2023","Analysis","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","EO","15","15","29470","30090"
"In post","2023","Analysis","Camden and City of London","G6/G7","110","100","89290","84100"
"In post","2023","Analysis","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","SEO/HEO","50","50","41790","38860"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","G6/G7","10","10","57960","55820"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","30","30","36480","37350"
"In post","2023","Analysis","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","EO","10","10","27090","27080"
"In post","2023","Analysis","Central Hampshire","G6/G7","295","280","54080","49260"
"In post","2023","Analysis","Central Hampshire","SEO/HEO","245","235","35710","39890"
"In post","2023","Analysis","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Valleys","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","EO","5","5","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","G6/G7","25","20","67070","67430"
"In post","2023","Analysis","City of Edinburgh","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","SEO/HEO","30","30","38610","37760"
"In post","2023","Analysis","Conwy and Denbighshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Conwy and Denbighshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Coventry","G6/G7","10","10","54420","52150"
"In post","2023","Analysis","Coventry","SCS level","[c]","[c]","[c]","[c]"
