"Status","Year","Function_of_post","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","HEO","15","15","37860","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","HEO","115","110","31120","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AO","20","20","21710","22150"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","105","100","26000","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6","25","25","63860","60300"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G7","75","70","50030","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","HEO","155","145","30570","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO","120","115","37810","37310"
"In post","2023","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","HEO","10","10","30170","30170"
"In post","2023","Analysis","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","35","35","77610","76720"
"In post","2023","Analysis","Competition and Markets Authority","G7","55","50","57900","55950"
