"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA/AO","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","SEO","10","10","48060","49860"
"In post","2023","Accountant in Bankruptcy","Glasgow City","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Swansea","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Active Travel England","York","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","SEO/HEO","SEO","15","15","39860","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","EO","EO","20","20","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","HEO","35","35","32980","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","SEO","15","15","41710","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","HEO","20","20","33040","32130"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","EO","30","30","25600","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","40","35","32840","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Merseyside","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","EO","EO","30","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO/HEO","HEO","45","40","33110","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO/HEO","SEO","15","10","43780","44310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester South East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","EO","EO","20","20","25650","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","SEO/HEO","HEO","35","30","33280","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","SEO/HEO","SEO","10","10","42190","41240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","EO","EO","55","55","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","SEO/HEO","HEO","60","55","33490","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","SEO/HEO","SEO","15","15","42140","41330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Medway","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Kent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Lancashire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Northamptonshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","AA/AO","AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","EO","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","SEO/HEO","HEO","40","35","32820","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","SEO/HEO","SEO","10","10","41830","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Perth and Kinross, and Stirling","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Sefton","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Staffordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","EO","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","SEO/HEO","HEO","20","20","33370","33680"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","EO","EO","55","50","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","SEO/HEO","HEO","60","55","33070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","SEO/HEO","SEO","15","15","41690","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","EO","EO","25","20","29820","30330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","G6/G7","G7","20","20","61250","60400"
