"Status","Year","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","2080","1895","29710","28120"
"In post","2023","Asian","East of England","1235","1120","32430","28120"
"In post","2023","Asian","London","15055","14280","40050","35410"
"In post","2023","Asian","North East (England)","685","640","31150","28120"
"In post","2023","Asian","North West (England)","3465","3230","30430","28120"
"In post","2023","Asian","Northern Ireland","20","15","[c]","[c]"
"In post","2023","Asian","Overseas","170","170","51850","53970"
"In post","2023","Asian","Scotland","800","750","33890","29100"
"In post","2023","Asian","South East (England)","1580","1465","32370","29400"
"In post","2023","Asian","South West (England)","950","900","36360","33390"
"In post","2023","Asian","Unknown","70","65","33840","28120"
"In post","2023","Asian","Wales","645","610","33270","28130"
"In post","2023","Asian","West Midlands (England)","5370","5020","30400","28120"
"In post","2023","Asian","Yorkshire and The Humber","3245","3010","30500","28120"
"In post","2023","Black","East Midlands (England)","660","625","29490","28120"
"In post","2023","Black","East of England","620","590","32440","30840"
"In post","2023","Black","London","10310","9930","37220","32960"
"In post","2023","Black","North East (England)","210","205","31420","28120"
"In post","2023","Black","North West (England)","1020","980","31370","28120"
"In post","2023","Black","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Black","Overseas","70","70","48280","50400"
"In post","2023","Black","Scotland","370","355","32890","28120"
"In post","2023","Black","South East (England)","985","935","32090","31270"
"In post","2023","Black","South West (England)","590","570","34570","32640"
"In post","2023","Black","Unknown","30","30","33330","28120"
"In post","2023","Black","Wales","265","250","32100","28120"
"In post","2023","Black","West Midlands (England)","1470","1380","30690","28120"
"In post","2023","Black","Yorkshire and The Humber","690","665","31490","28120"
"In post","2023","Mixed","East Midlands (England)","450","420","31480","28120"
"In post","2023","Mixed","East of England","450","425","33950","30880"
"In post","2023","Mixed","London","3610","3490","43570","39150"
"In post","2023","Mixed","North East (England)","300","280","31690","28120"
"In post","2023","Mixed","North West (England)","1020","965","32040","28120"
"In post","2023","Mixed","Northern Ireland","20","20","[c]","[c]"
"In post","2023","Mixed","Overseas","130","130","49790","46640"
"In post","2023","Mixed","Scotland","370","355","36840","31540"
"In post","2023","Mixed","South East (England)","825","780","33760","30880"
"In post","2023","Mixed","South West (England)","725","685","35660","32500"
"In post","2023","Mixed","Unknown","20","20","[c]","[c]"
"In post","2023","Mixed","Wales","465","440","33160","28130"
"In post","2023","Mixed","West Midlands (England)","695","655","31760","28120"
"In post","2023","Mixed","Yorkshire and The Humber","635","600","33420","28880"
"In post","2023","Other ethnicity","East Midlands (England)","80","75","31710","28120"
"In post","2023","Other ethnicity","East of England","110","100","32810","31280"
"In post","2023","Other ethnicity","London","1400","1345","43600","38660"
"In post","2023","Other ethnicity","North East (England)","75","70","33570","28120"
"In post","2023","Other ethnicity","North West (England)","205","195","32920","28130"
"In post","2023","Other ethnicity","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Overseas","45","45","49720","49960"
"In post","2023","Other ethnicity","Scotland","155","150","37560","31970"
"In post","2023","Other ethnicity","South East (England)","195","185","33170","30880"
"In post","2023","Other ethnicity","South West (England)","115","110","36880","34550"
"In post","2023","Other ethnicity","Unknown","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Wales","115","110","34130","30610"
"In post","2023","Other ethnicity","West Midlands (England)","175","165","32300","28120"
"In post","2023","Other ethnicity","Yorkshire and The Humber","140","130","33330","30410"
"In post","2023","Undeclared","East Midlands (England)","890","830","32940","28560"
"In post","2023","Undeclared","East of England","965","895","33020","31280"
"In post","2023","Undeclared","London","4430","4220","45190","39790"
"In post","2023","Undeclared","North East (England)","1045","960","32650","28120"
"In post","2023","Undeclared","North West (England)","2140","1965","33270","28130"
"In post","2023","Undeclared","Northern Ireland","85","80","32440","28490"
"In post","2023","Undeclared","Overseas","170","170","51870","52570"
"In post","2023","Undeclared","Scotland","1530","1410","36040","33340"
"In post","2023","Undeclared","South East (England)","1990","1840","35600","32520"
"In post","2023","Undeclared","South West (England)","2090","1970","38380","35200"
"In post","2023","Undeclared","Unknown","45","45","32380","28490"
"In post","2023","Undeclared","Wales","1210","1130","35030","30540"
"In post","2023","Undeclared","West Midlands (England)","1245","1140","32490","28120"
"In post","2023","Undeclared","Yorkshire and The Humber","1430","1335","34040","30210"
"In post","2023","Unknown","East Midlands (England)","3105","2930","29760","27890"
"In post","2023","Unknown","East of England","2345","2190","30420","27650"
"In post","2023","Unknown","London","16135","15715","43650","39110"
"In post","2023","Unknown","North East (England)","4620","4265","29380","26890"
"In post","2023","Unknown","North West (England)","9830","9320","29490","26450"
"In post","2023","Unknown","Northern Ireland","925","880","28910","25750"
"In post","2023","Unknown","Overseas","625","625","54790","54740"
"In post","2023","Unknown","Scotland","12475","11800","33050","29100"
"In post","2023","Unknown","South East (England)","5175","4850","31320","27650"
"In post","2023","Unknown","South West (England)","4900","4655","33650","28880"
"In post","2023","Unknown","Unknown","1900","1885","41120","38920"
"In post","2023","Unknown","Wales","4620","4350","31000","27890"
"In post","2023","Unknown","West Midlands (England)","4590","4340","30670","28080"
"In post","2023","Unknown","Yorkshire and The Humber","5740","5480","30760","27890"
"In post","2023","White","East Midlands (England)","16365","15210","32950","28880"
"In post","2023","White","East of England","16660","15485","33000","30410"
"In post","2023","White","London","52795","50810","49650","45010"
"In post","2023","White","North East (England)","27325","24845","31810","28120"
"In post","2023","White","North West (England)","49430","45860","32770","28120"
"In post","2023","White","Northern Ireland","3485","3305","31600","28130"
"In post","2023","White","Overseas","2305","2300","53710","53050"
"In post","2023","White","Scotland","37800","35290","36130","31920"
"In post","2023","White","South East (England)","32285","30040","34280","31280"
"In post","2023","White","South West (England)","38025","35730","37040","33830"
"In post","2023","White","Unknown","640","605","36870","32640"
"In post","2023","White","Wales","31340","28990","33760","28130"
"In post","2023","White","West Midlands (England)","20900","19415","34020","29700"
"In post","2023","White","Yorkshire and The Humber","28980","26800","34620","30810"
"Leaver CS","2023","Asian","East Midlands (England)","150","[c]","27010","25790"
"Leaver CS","2023","Asian","East of England","125","[c]","33100","29290"
"Leaver CS","2023","Asian","London","1270","[c]","37480","32520"
"Leaver CS","2023","Asian","North East (England)","60","[c]","29950","23210"
"Leaver CS","2023","Asian","North West (England)","225","[c]","29120","23810"
"Leaver CS","2023","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Scotland","65","[c]","32970","27570"
"Leaver CS","2023","Asian","South East (England)","180","[c]","30620","28120"
"Leaver CS","2023","Asian","South West (England)","100","[c]","31290","28100"
"Leaver CS","2023","Asian","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Wales","65","[c]","27020","22510"
"Leaver CS","2023","Asian","West Midlands (England)","320","[c]","28900","26650"
"Leaver CS","2023","Asian","Yorkshire and The Humber","190","[c]","31100","27570"
"Leaver CS","2023","Black","East Midlands (England)","85","[c]","30220","27570"
"Leaver CS","2023","Black","East of England","105","[c]","30230","29290"
"Leaver CS","2023","Black","London","1045","[c]","35460","32320"
"Leaver CS","2023","Black","North East (England)","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","North West (England)","110","[c]","30490","27570"
"Leaver CS","2023","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Scotland","35","[c]","[c]","[c]"
"Leaver CS","2023","Black","South East (England)","135","[c]","31720","29290"
"Leaver CS","2023","Black","South West (England)","80","[c]","34320","33650"
"Leaver CS","2023","Black","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Wales","25","[c]","[c]","[c]"
"Leaver CS","2023","Black","West Midlands (England)","160","[c]","29370","27570"
"Leaver CS","2023","Black","Yorkshire and The Humber","55","[c]","34040","29090"
"Leaver CS","2023","Mixed","East Midlands (England)","50","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","East of England","60","[c]","28770","28120"
"Leaver CS","2023","Mixed","London","430","[c]","39560","34020"
"Leaver CS","2023","Mixed","North East (England)","25","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","North West (England)","75","[c]","30480","27570"
"Leaver CS","2023","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Scotland","20","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","South East (England)","90","[c]","31800","29080"
"Leaver CS","2023","Mixed","South West (England)","75","[c]","32780","28120"
"Leaver CS","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Wales","40","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","West Midlands (England)","65","[c]","30200","27570"
"Leaver CS","2023","Mixed","Yorkshire and The Humber","65","[c]","28330","27570"
"Leaver CS","2023","Other ethnicity","East Midlands (England)","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","East of England","15","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","London","170","[c]","41410","33570"
"Leaver CS","2023","Other ethnicity","North East (England)","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","North West (England)","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Scotland","15","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","South East (England)","30","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","South West (England)","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Wales","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","West Midlands (England)","15","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Yorkshire and The Humber","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","East Midlands (England)","90","[c]","31360","28120"
"Leaver CS","2023","Undeclared","East of England","90","[c]","32810","29240"
"Leaver CS","2023","Undeclared","London","360","[c]","43270","40400"
"Leaver CS","2023","Undeclared","North East (England)","65","[c]","33150","27650"
"Leaver CS","2023","Undeclared","North West (England)","175","[c]","30890","26630"
"Leaver CS","2023","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Scotland","110","[c]","33740","29450"
"Leaver CS","2023","Undeclared","South East (England)","205","[c]","33320","30210"
"Leaver CS","2023","Undeclared","South West (England)","180","[c]","37150","33300"
"Leaver CS","2023","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Wales","90","[c]","30780","25610"
"Leaver CS","2023","Undeclared","West Midlands (England)","110","[c]","29160","27570"
"Leaver CS","2023","Undeclared","Yorkshire and The Humber","110","[c]","32000","27460"
"Leaver CS","2023","Unknown","East Midlands (England)","430","[c]","26730","21780"
"Leaver CS","2023","Unknown","East of England","390","[c]","30400","25750"
"Leaver CS","2023","Unknown","London","2490","[c]","41440","33790"
"Leaver CS","2023","Unknown","North East (England)","470","[c]","28470","22520"
"Leaver CS","2023","Unknown","North West (England)","1035","[c]","27840","22500"
"Leaver CS","2023","Unknown","Northern Ireland","60","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","75","[c]","47930","45810"
"Leaver CS","2023","Unknown","Scotland","1095","[c]","30860","27490"
"Leaver CS","2023","Unknown","South East (England)","895","[c]","30010","25880"
"Leaver CS","2023","Unknown","South West (England)","650","[c]","31910","27570"
"Leaver CS","2023","Unknown","Unknown","315","[c]","36860","32700"
"Leaver CS","2023","Unknown","Wales","520","[c]","27920","22500"
"Leaver CS","2023","Unknown","West Midlands (England)","610","[c]","28540","22220"
"Leaver CS","2023","Unknown","Yorkshire and The Humber","720","[c]","34350","28120"
"Leaver CS","2023","White","East Midlands (England)","1505","[c]","30110","27570"
"Leaver CS","2023","White","East of England","1725","[c]","32320","28120"
"Leaver CS","2023","White","London","4765","[c]","47490","41910"
"Leaver CS","2023","White","North East (England)","1795","[c]","29660","25900"
"Leaver CS","2023","White","North West (England)","3450","[c]","30540","27570"
"Leaver CS","2023","White","Northern Ireland","200","[c]","30580","22970"
"Leaver CS","2023","White","Overseas","65","[c]","52570","48690"
"Leaver CS","2023","White","Scotland","2550","[c]","33320","28120"
"Leaver CS","2023","White","South East (England)","3220","[c]","32030","27800"
"Leaver CS","2023","White","South West (England)","3385","[c]","34690","30650"
"Leaver CS","2023","White","Unknown","75","[c]","33720","28120"
"Leaver CS","2023","White","Wales","2070","[c]","30640","25620"
"Leaver CS","2023","White","West Midlands (England)","1850","[c]","30880","27570"
"Leaver CS","2023","White","Yorkshire and The Humber","2130","[c]","32650","28080"
"Leaver Dept.","2023","Asian","East Midlands (England)","45","[c]","26990","27570"
"Leaver Dept.","2023","Asian","East of England","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","London","755","[c]","40440","35200"
"Leaver Dept.","2023","Asian","North East (England)","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","North West (England)","125","[c]","29960","28120"
"Leaver Dept.","2023","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","Scotland","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","South East (England)","45","[c]","29970","28120"
"Leaver Dept.","2023","Asian","South West (England)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","Wales","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","West Midlands (England)","165","[c]","29430","27850"
"Leaver Dept.","2023","Asian","Yorkshire and The Humber","105","[c]","30090","28120"
"Leaver Dept.","2023","Black","East Midlands (England)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","East of England","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","London","370","[c]","36860","34260"
"Leaver Dept.","2023","Black","North East (England)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","North West (England)","45","[c]","31720","31280"
"Leaver Dept.","2023","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Scotland","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","South East (England)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","South West (England)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Wales","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","West Midlands (England)","50","[c]","30510","28120"
"Leaver Dept.","2023","Black","Yorkshire and The Humber","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","East Midlands (England)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","East of England","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","London","280","[c]","42200","39150"
"Leaver Dept.","2023","Mixed","North East (England)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","North West (England)","40","[c]","32450","28120"
"Leaver Dept.","2023","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Scotland","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","South East (England)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","South West (England)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Wales","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","West Midlands (England)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Yorkshire and The Humber","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","London","75","[c]","39670","34550"
"Leaver Dept.","2023","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","North West (England)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","West Midlands (England)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","East Midlands (England)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","East of England","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","180","[c]","42990","39960"
"Leaver Dept.","2023","Undeclared","North East (England)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","North West (England)","40","[c]","31170","28120"
"Leaver Dept.","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Scotland","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","South East (England)","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","South West (England)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Wales","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","West Midlands (England)","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Yorkshire and The Humber","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","East Midlands (England)","55","[c]","28830","26470"
"Leaver Dept.","2023","Unknown","East of England","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","1820","[c]","41190","34810"
"Leaver Dept.","2023","Unknown","North East (England)","160","[c]","28440","26030"
"Leaver Dept.","2023","Unknown","North West (England)","265","[c]","31560","28120"
"Leaver Dept.","2023","Unknown","Northern Ireland","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Overseas","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Scotland","195","[c]","33890","30450"
"Leaver Dept.","2023","Unknown","South East (England)","100","[c]","29580","26960"
"Leaver Dept.","2023","Unknown","South West (England)","100","[c]","35040","32000"
"Leaver Dept.","2023","Unknown","Unknown","95","[c]","33780","32000"
"Leaver Dept.","2023","Unknown","Wales","130","[c]","32290","30210"
"Leaver Dept.","2023","Unknown","West Midlands (England)","145","[c]","30380","28120"
"Leaver Dept.","2023","Unknown","Yorkshire and The Humber","225","[c]","32950","30130"
"Leaver Dept.","2023","White","East Midlands (England)","220","[c]","30020","27570"
"Leaver Dept.","2023","White","East of England","195","[c]","32720","29290"
"Leaver Dept.","2023","White","London","3045","[c]","47180","41870"
"Leaver Dept.","2023","White","North East (England)","635","[c]","31730","28120"
"Leaver Dept.","2023","White","North West (England)","1080","[c]","32050","28120"
"Leaver Dept.","2023","White","Northern Ireland","50","[c]","[c]","[c]"
"Leaver Dept.","2023","White","Overseas","20","[c]","[c]","[c]"
"Leaver Dept.","2023","White","Scotland","830","[c]","29850","27570"
