"Status","Year","Ethnicity","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","5","5","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","35","35","34960","32110"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","65","65","27220","25920"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","30","30","32150","30320"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
