"Status","Year","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","AA/AO","1650","1530","23220","22870"
"In post","2023","Attorney General's Departments","EO","1995","1880","28570","28200"
"In post","2023","Attorney General's Departments","G6/G7","5125","4755","59620","56450"
"In post","2023","Attorney General's Departments","SCS level","330","315","89360","84730"
"In post","2023","Attorney General's Departments","SEO/HEO","1630","1580","37190","38290"
"In post","2023","Cabinet Office","AA/AO","440","410","22560","21720"
"In post","2023","Cabinet Office","EO","875","835","27000","27110"
"In post","2023","Cabinet Office","G6/G7","3850","3780","61580","58190"
"In post","2023","Cabinet Office","SCS level","725","710","103430","95360"
"In post","2023","Cabinet Office","SEO/HEO","4330","4265","34870","33950"
"In post","2023","Chancellor's other departments","AA/AO","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","EO","50","50","29520","30090"
"In post","2023","Chancellor's other departments","G6/G7","215","200","76190","70000"
"In post","2023","Chancellor's other departments","SCS level","15","15","117080","113910"
"In post","2023","Chancellor's other departments","SEO/HEO","140","140","42600","42750"
"In post","2023","Charity Commission","AA/AO","20","20","21520","21100"
"In post","2023","Charity Commission","EO","120","115","25720","25300"
"In post","2023","Charity Commission","G6/G7","80","75","56570","52240"
"In post","2023","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","270","260","33910","30400"
"In post","2023","Competition and Markets Authority","AA/AO","25","25","23310","23200"
"In post","2023","Competition and Markets Authority","EO","60","60","28730","28760"
"In post","2023","Competition and Markets Authority","G6/G7","470","455","67420","66180"
"In post","2023","Competition and Markets Authority","SCS level","125","120","109770","102320"
"In post","2023","Competition and Markets Authority","SEO/HEO","225","225","38250","35920"
"In post","2023","Department for Business, Energy and Industrial Strategy","AA/AO","1375","1260","22470","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","1830","1735","27110","26180"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","4435","4295","58520","57250"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","415","395","85990","78230"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","6365","6145","38610","38730"
"In post","2023","Department for Digital, Culture, Media and Sport","AA/AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","170","170","27860","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","935","920","57320","54780"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","120","110","87060","78670"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","705","700","36810","35620"
"In post","2023","Department for Education","AA/AO","95","85","22840","22020"
"In post","2023","Department for Education","EO","785","755","27490","26940"
"In post","2023","Department for Education","G6/G7","3295","3175","57380","55020"
"In post","2023","Department for Education","SCS level","300","285","85020","76800"
"In post","2023","Department for Education","SEO/HEO","4005","3870","36790","37590"
"In post","2023","Department for Education","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","2540","2335","22530","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","2240","2120","26820","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","2990","2895","54700","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","235","230","83710","78170"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","5030","4840","35510","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","35","30","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","25","25","27960","28660"
"In post","2023","Department for International Trade","EO","300","295","29030","29280"
"In post","2023","Department for International Trade","G6/G7","1355","1340","59220","55500"
"In post","2023","Department for International Trade","SCS level","190","185","88250","78430"
"In post","2023","Department for International Trade","SEO/HEO","1660","1645","39090","40310"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","195","180","23290","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","350","335","28600","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","1930","1845","58160","55370"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","185","175","87600","79290"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","1520","1480","37060","37060"
"In post","2023","Department for Transport","AA/AO","5570","4865","22690","22500"
"In post","2023","Department for Transport","EO","4135","3875","28450","27450"
"In post","2023","Department for Transport","G6/G7","2230","2175","61280","56770"
"In post","2023","Department for Transport","SCS level","275","265","89770","81850"
"In post","2023","Department for Transport","SEO/HEO","4175","4075","38140","37550"
"In post","2023","Department for Work and Pensions","AA/AO","25860","22190","22020","21690"
"In post","2023","Department for Work and Pensions","EO","43345","38780","28800","28120"
"In post","2023","Department for Work and Pensions","G6/G7","4420","4250","58720","55250"
"In post","2023","Department for Work and Pensions","SCS level","320","310","90720","82350"
"In post","2023","Department for Work and Pensions","SEO/HEO","13825","13075","37520","34970"
"In post","2023","Department of Health and Social Care","AA/AO","620","560","22710","22820"
"In post","2023","Department of Health and Social Care","EO","1215","1165","27590","27960"
"In post","2023","Department of Health and Social Care","G6/G7","3685","3535","59450","55200"
"In post","2023","Department of Health and Social Care","SCS level","730","680","99220","95140"
"In post","2023","Department of Health and Social Care","SEO/HEO","4020","3875","37750","38120"
"In post","2023","Estyn","AA/AO","15","10","24680","25620"
"In post","2023","Estyn","EO","25","20","29990","30610"
"In post","2023","Estyn","G6/G7","75","70","77170","78500"
"In post","2023","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","10","10","41610","40700"
"In post","2023","Food Standards Agency","AA/AO","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","EO","435","410","28330","28090"
"In post","2023","Food Standards Agency","G6/G7","300","295","56800","55850"
"In post","2023","Food Standards Agency","SCS level","30","25","89040","84460"
"In post","2023","Food Standards Agency","SEO/HEO","805","790","36380","37720"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","500","485","27000","26100"
"In post","2023","Foreign, Commonwealth and Development Office","EO","885","860","30610","30030"
"In post","2023","Foreign, Commonwealth and Development Office","G6/G7","3485","3390","60920","59330"
"In post","2023","Foreign, Commonwealth and Development Office","SCS level","590","585","87460","79320"
"In post","2023","Foreign, Commonwealth and Development Office","SEO/HEO","3275","3230","39380","38600"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","65","65","24490","23800"
"In post","2023","HM Land Registry","AA/AO","1595","1490","23470","23390"
"In post","2023","HM Land Registry","EO","2460","2195","28430","28080"
"In post","2023","HM Land Registry","G6/G7","325","310","62460","61730"
"In post","2023","HM Land Registry","SCS level","30","30","88760","83000"
"In post","2023","HM Land Registry","SEO/HEO","2310","2080","38310","34850"
"In post","2023","HM Revenue and Customs","AA/AO","20270","17870","22750","22520"
"In post","2023","HM Revenue and Customs","EO","16285","15210","28790","28130"
"In post","2023","HM Revenue and Customs","G6/G7","9280","8935","62630","58180"
"In post","2023","HM Revenue and Customs","SCS level","530","520","88190","81750"
"In post","2023","HM Revenue and Customs","SEO/HEO","26020","24945","38420","35330"
"In post","2023","HM Treasury","AA/AO","50","50","23300","23210"
"In post","2023","HM Treasury","EO","270","265","27480","27820"
"In post","2023","HM Treasury","G6/G7","1200","1175","59100","55120"
"In post","2023","HM Treasury","SCS level","175","170","88220","79270"
"In post","2023","HM Treasury","SEO/HEO","1005","980","36860","35000"
"In post","2023","Home Office","AA/AO","9480","8560","23050","22400"
"In post","2023","Home Office","EO","17440","16260","27560","26180"
"In post","2023","Home Office","G6/G7","4390","4300","61910","59290"
"In post","2023","Home Office","SCS level","345","340","91010","83460"
"In post","2023","Home Office","SEO/HEO","11285","10940","37300","36180"
"In post","2023","Home Office","Unknown","190","185","[c]","[c]"
"In post","2023","Ministry of Defence","AA/AO","15865","15210","24350","22220"
"In post","2023","Ministry of Defence","EO","8450","8190","29150","27470"
"In post","2023","Ministry of Defence","G6/G7","7815","7530","59230","56530"
"In post","2023","Ministry of Defence","SCS level","520","500","94680","88370"
"In post","2023","Ministry of Defence","SEO/HEO","21675","21020","38710","38680"
"In post","2023","Ministry of Defence","Unknown","3850","3790","42750","40690"
"In post","2023","Ministry of Justice","AA/AO","40070","37100","27140","25480"
"In post","2023","Ministry of Justice","EO","11490","10955","30950","29660"
"In post","2023","Ministry of Justice","G6/G7","3855","3760","62950","60570"
"In post","2023","Ministry of Justice","SCS level","340","335","91780","85800"
"In post","2023","Ministry of Justice","SEO/HEO","14550","13965","40090","38910"
"In post","2023","Ministry of Justice","Unknown","21570","20060","30510","29050"
"In post","2023","National Crime Agency","AA/AO","215","200","26070","26550"
"In post","2023","National Crime Agency","EO","2410","2335","36190","36040"
"In post","2023","National Crime Agency","G6/G7","425","420","66390","66490"
"In post","2023","National Crime Agency","SCS level","35","35","106040","94730"
"In post","2023","National Crime Agency","SEO/HEO","2485","2425","45510","45610"
"In post","2023","Northern Ireland Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","10","10","27970","28420"
"In post","2023","Northern Ireland Office","G6/G7","45","45","56980","56010"
"In post","2023","Northern Ireland Office","SCS level","20","20","89660","77680"
"In post","2023","Northern Ireland Office","SEO/HEO","85","85","38120","37680"
"In post","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","205","185","22460","22490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","EO","215","210","27530","27140"
"In post","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","720","710","74870","77470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SCS level","30","30","109210","99160"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","860","835","44630","44250"
"In post","2023","Office of Gas and Electricity Markets","AA/AO","40","40","21680","20970"
"In post","2023","Office of Gas and Electricity Markets","EO","385","380","26420","25750"
"In post","2023","Office of Gas and Electricity Markets","G6/G7","660","650","58860","57570"
"In post","2023","Office of Gas and Electricity Markets","SCS level","60","60","97940","90980"
"In post","2023","Office of Gas and Electricity Markets","SEO/HEO","410","405","36690","35530"
"In post","2023","Office of Qualifications and Examinations Regulation","AA/AO","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","EO","25","25","24750","24000"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","125","120","53990","50050"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","20","20","93430","87430"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","170","160","36530","37590"
"In post","2023","Office of Rail and Road","AA/AO","15","15","23540","23720"
"In post","2023","Office of Rail and Road","EO","30","30","30260","30720"
"In post","2023","Office of Rail and Road","G6/G7","210","200","62590","61190"
"In post","2023","Office of Rail and Road","SCS level","20","20","108370","98760"
"In post","2023","Office of Rail and Road","SEO/HEO","95","95","40100","40000"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","10","10","24210","24890"
"In post","2023","Office of the Secretary of State for Scotland","EO","10","10","30450","29660"
"In post","2023","Office of the Secretary of State for Scotland","G6/G7","55","55","61700","60550"
"In post","2023","Office of the Secretary of State for Scotland","SCS level","10","10","85060","82710"
"In post","2023","Office of the Secretary of State for Scotland","SEO/HEO","40","40","41660","41420"
"In post","2023","Office of the Secretary of State for Wales","EO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","G6/G7","15","15","57620","56320"
"In post","2023","Office of the Secretary of State for Wales","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","SEO/HEO","20","20","37560","35410"
"In post","2023","Scottish Government","AA/AO","7360","6875","25210","24890"
"In post","2023","Scottish Government","EO","7040","6715","32400","31940"
"In post","2023","Scottish Government","G6/G7","4435","4260","65700","65280"
"In post","2023","Scottish Government","SCS level","310","300","91060","85200"
"In post","2023","Scottish Government","SEO/HEO","8485","8110","41590","41640"
"In post","2023","The National Archives","AA/AO","85","75","23490","23460"
"In post","2023","The National Archives","EO","75","70","26410","25680"
"In post","2023","The National Archives","G6/G7","105","105","53930","52160"
"In post","2023","The National Archives","SCS level","10","10","[c]","[c]"
"In post","2023","The National Archives","SEO/HEO","315","300","36790","35470"
"In post","2023","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","EO","65","60","32380","32300"
"In post","2023","UK Export Finance","G6/G7","210","205","65380","63560"
