"Status","Year","Age","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Devon","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Greater Manchester","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Inner London - West","EO","10","10","[c]","[c]"
"In post","2023","16-19","Economics","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Tees Valley and Durham","EO","5","5","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","15","15","19540","19460"
"In post","2023","16-19","Finance","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Wales","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bedfordshire and Hertfordshire","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","15","15","23820","23230"
