"Status","Year","Function_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Angus and Dundee City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","35","30","43930","44000"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","35","35","37660","36990"
"In post","2023","Analysis","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","Outside London","Female","45","45","42390","35780"
"In post","2023","Analysis","Birmingham","Outside London","Male","55","55","43400","38230"
"In post","2023","Analysis","Blackburn with Darwen","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
