"Status","Year","Function_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","Female","50","50","39990","36340"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","Male","55","55","42910","40840"
"In post","2023","Analysis","Devon","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Devon","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Outside London","Female","80","70","33070","30350"
"In post","2023","Analysis","Dorset and Somerset","Outside London","Male","70","65","36600","30820"
"In post","2023","Analysis","East Anglia","Outside London","Female","180","170","34160","30820"
"In post","2023","Analysis","East Anglia","Outside London","Male","190","185","39310","37310"
"In post","2023","Analysis","East Wales","Outside London","Female","630","595","38490","37760"
"In post","2023","Analysis","East Wales","Outside London","Male","510","500","39950","37760"
"In post","2023","Analysis","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Eastern Scotland","Outside London","Female","35","35","48920","41060"
"In post","2023","Analysis","Eastern Scotland","Outside London","Male","30","30","47990","43000"
"In post","2023","Analysis","Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","300","275","41190","39890"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","515","505","43650","40640"
"In post","2023","Analysis","Greater Manchester","Outside London","Female","180","175","41080","38830"
"In post","2023","Analysis","Greater Manchester","Outside London","Male","230","225","41630","37770"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","Female","465","435","40630","39300"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","Male","655","635","43670","39890"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","5","5","[c]","[c]"
