"Status","Year","Ethnicity","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","London","Female","525","485","45600","52020"
"In post","2023","Asian","Attorney General's Departments","London","Male","230","225","44570","40800"
"In post","2023","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Outside London","Female","330","300","37900","30690"
"In post","2023","Asian","Attorney General's Departments","Outside London","Male","145","140","41630","49050"
"In post","2023","Asian","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","Female","310","305","44740","36680"
"In post","2023","Asian","Cabinet Office","London","Male","235","235","47850","41870"
"In post","2023","Asian","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","Female","85","80","36530","32960"
"In post","2023","Asian","Cabinet Office","Outside London","Male","115","115","42840","34980"
"In post","2023","Asian","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Female","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Male","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
