"Status","Year","Age","Disability","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","London","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2023","16-19","Declared disabled","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","East Midlands (England)","Outside London","45","45","25000","23230"
"In post","2023","16-19","Declared non-disabled","East of England","Outside London","40","40","25140","23230"
"In post","2023","16-19","Declared non-disabled","London","London","50","50","26500","26130"
"In post","2023","16-19","Declared non-disabled","North East (England)","Outside London","45","45","23620","22520"
"In post","2023","16-19","Declared non-disabled","North West (England)","Outside London","65","65","23960","22520"
"In post","2023","16-19","Declared non-disabled","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scotland","Outside London","50","45","22900","22520"
"In post","2023","16-19","Declared non-disabled","South East (England)","Outside London","60","60","24700","23800"
"In post","2023","16-19","Declared non-disabled","South West (England)","Outside London","65","65","22440","22000"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Wales","Outside London","100","95","21730","22500"
"In post","2023","16-19","Declared non-disabled","West Midlands (England)","Outside London","45","45","23490","23230"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","Outside London","70","65","23830","22520"
"In post","2023","16-19","Undeclared","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Outside London","35","35","24210","23230"
"In post","2023","16-19","Unknown","East of England","Outside London","30","30","23350","22400"
"In post","2023","16-19","Unknown","London","London","70","65","27600","26770"
"In post","2023","16-19","Unknown","North East (England)","Outside London","35","35","24100","22520"
"In post","2023","16-19","Unknown","North West (England)","Outside London","70","65","23370","22400"
"In post","2023","16-19","Unknown","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Outside London","80","80","22550","22310"
"In post","2023","16-19","Unknown","South East (England)","Outside London","105","105","23240","22750"
"In post","2023","16-19","Unknown","South West (England)","Outside London","130","130","20210","19460"
"In post","2023","16-19","Unknown","Unknown","Unknown","35","35","20430","17650"
"In post","2023","16-19","Unknown","Wales","Outside London","55","50","21450","22280"
"In post","2023","16-19","Unknown","West Midlands (England)","Outside London","35","35","24060","22520"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Outside London","55","50","23990","22520"
"In post","2023","20-29","Declared disabled","East Midlands (England)","Outside London","305","295","26950","25830"
"In post","2023","20-29","Declared disabled","East of England","Outside London","280","275","27720","26840"
"In post","2023","20-29","Declared disabled","London","London","1775","1760","37670","34820"
"In post","2023","20-29","Declared disabled","North East (England)","Outside London","330","320","27470","27530"
"In post","2023","20-29","Declared disabled","North West (England)","Outside London","725","715","28220","27890"
"In post","2023","20-29","Declared disabled","Northern Ireland","Outside London","30","30","27850","27890"
"In post","2023","20-29","Declared disabled","Overseas","Overseas","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Scotland","Outside London","545","535","29460","28120"
"In post","2023","20-29","Declared disabled","South East (England)","Outside London","555","545","29350","28860"
"In post","2023","20-29","Declared disabled","South West (England)","Outside London","715","710","29440","28370"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Wales","Outside London","360","350","27530","26810"
