"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA","Heterosexual / straight","30","25","23570","23340"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA","Unknown","50","40","23030","22920"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AO","Heterosexual / straight","225","205","28310","25010"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AO","Undeclared","30","30","31050","22450"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AO","Unknown","165","160","29190","27740"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","Heterosexual / straight","375","345","30710","29370"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","Undeclared","40","40","29420","28120"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","Unknown","190","180","32630","31940"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G7","Heterosexual / straight","95","90","64050","58850"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","HEO","Heterosexual / straight","195","185","38070","36330"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","HEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","HEO","Unknown","80","75","37720","38170"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO","Heterosexual / straight","210","200","58290","49860"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO","Unknown","50","45","53210","49860"
"In post","2023","Angus and Dundee City","Outside London","AA","Heterosexual / straight","215","200","23260","23340"
"In post","2023","Angus and Dundee City","Outside London","AA","LGBO","35","35","23150","23340"
