"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Mixed","SEO/HEO","SEO","LGBO","115","115","42460","41950"
"In post","2023","Mixed","SEO/HEO","SEO","Undeclared","70","70","43420","42620"
"In post","2023","Mixed","SEO/HEO","SEO","Unknown","55","50","42550","42140"
"In post","2023","Mixed","Unknown","Unknown","Heterosexual / straight","575","545","31350","29050"
"In post","2023","Mixed","Unknown","Unknown","LGBO","65","60","27650","25300"
"In post","2023","Mixed","Unknown","Unknown","Undeclared","40","35","32900","31540"
"In post","2023","Mixed","Unknown","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AA","Heterosexual / straight","40","40","23570","23340"
"In post","2023","Other ethnicity","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AO","Heterosexual / straight","375","350","25550","24490"
"In post","2023","Other ethnicity","AA/AO","AO","LGBO","40","35","26220","24670"
"In post","2023","Other ethnicity","AA/AO","AO","Undeclared","30","30","25050","23360"
"In post","2023","Other ethnicity","AA/AO","AO","Unknown","50","45","24980","24460"
"In post","2023","Other ethnicity","EO","EO","Heterosexual / straight","505","480","29700","28920"
"In post","2023","Other ethnicity","EO","EO","LGBO","45","40","30160","29090"
"In post","2023","Other ethnicity","EO","EO","Undeclared","75","70","29830","29870"
"In post","2023","Other ethnicity","EO","EO","Unknown","60","50","29740","29660"
"In post","2023","Other ethnicity","G6/G7","G6","Heterosexual / straight","90","85","71820","69490"
"In post","2023","Other ethnicity","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","G6","Undeclared","30","30","69860","68290"
"In post","2023","Other ethnicity","G6/G7","G6","Unknown","15","10","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","G7","Heterosexual / straight","250","240","56530","55370"
"In post","2023","Other ethnicity","G6/G7","G7","LGBO","45","45","56020","55730"
"In post","2023","Other ethnicity","G6/G7","G7","Undeclared","70","70","55330","54690"
"In post","2023","Other ethnicity","G6/G7","G7","Unknown","30","30","57430","57500"
"In post","2023","Other ethnicity","SCS level","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","HEO","Heterosexual / straight","365","350","35890","35400"
"In post","2023","Other ethnicity","SEO/HEO","HEO","LGBO","35","35","35160","34770"
"In post","2023","Other ethnicity","SEO/HEO","HEO","Undeclared","65","65","34740","34170"
"In post","2023","Other ethnicity","SEO/HEO","HEO","Unknown","35","35","35860","36720"
"In post","2023","Other ethnicity","SEO/HEO","SEO","Heterosexual / straight","260","260","43670","42460"
"In post","2023","Other ethnicity","SEO/HEO","SEO","LGBO","25","25","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","SEO","Undeclared","55","55","43130","42600"
"In post","2023","Other ethnicity","SEO/HEO","SEO","Unknown","25","20","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Heterosexual / straight","105","100","31340","29050"
"In post","2023","Other ethnicity","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","AA/AO","AA","Heterosexual / straight","75","70","22230","22920"
"In post","2023","Undeclared","AA/AO","AA","LGBO","10","10","[c]","[c]"
