"Status","Year","Function_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Bristol, City of","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Glasgow City","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Tower Hamlets","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Westminster","80","80","34590","30230"
"In post","2023","Analysis","Cabinet Office","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Camden and City of London","170","160","72380","67430"
"In post","2023","Analysis","Chancellor's other departments","City of Edinburgh","15","10","70680","70000"
"In post","2023","Analysis","Chancellor's other departments","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Westminster","25","25","50420","49180"
"In post","2023","Analysis","Charity Commission","Sefton","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","City of Edinburgh","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Tower Hamlets","125","120","64110","58050"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","10","10","36180","36340"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","5","5","[c]","[c]"
